comunidad,fecha,PIB_cápita
andalucía,2010,17567
aragón,2010,25375
asturias,2010,20992
balears,2010,24638
canarias,2010,19355
cantabria,2010,21850
castilla y león,2010,21487
castilla - la mancha,2010,18864
cataluña,2010,27096
comunitat valenciana,2010,20419
extremadura,2010,16950
galicia,2010,20488
madrid,2010,31059
murcia,2010,19479
navarra,2010,28487
país vasco,2010,29538
rioja,2010,25035
ceuta,2010,18532
melilla,2010,17661
andalucía,2011,17299
aragón,2011,25015
asturias,2011,20706
balears,2011,24324
canarias,2011,19099
cantabria,2011,21435
castilla y león,2011,21378
castilla - la mancha,2011,18569
cataluña,2011,26644
comunitat valenciana,2011,20069
extremadura,2011,16560
galicia,2011,20139
madrid,2011,31147
murcia,2011,18957
navarra,2011,28279
país vasco,2011,29261
rioja,2011,24748
ceuta,2011,17986
melilla,2011,17144
andalucía,2012,16597
aragón,2012,24008
asturias,2012,19867
balears,2012,23810
canarias,2012,18317
cantabria,2012,20691
castilla y león,2012,20823
castilla - la mancha,2012,17941
cataluña,2012,25937
comunitat valenciana,2012,19171
extremadura,2012,15953
galicia,2012,19541
madrid,2012,30566
murcia,2012,18444
navarra,2012,27184
país vasco,2012,28589
rioja,2012,23961
ceuta,2012,17094
melilla,2012,16035
andalucía,2013,16381
aragón,2013,24232
asturias,2013,19475
balears,2013,23719
canarias,2013,18160
cantabria,2013,20299
castilla y león,2013,20474
castilla - la mancha,2013,17720
cataluña,2013,25928
comunitat valenciana,2013,19137
extremadura,2013,16028
galicia,2013,19636
madrid,2013,30264
murcia,2013,18502
navarra,2013,27213
país vasco,2013,28277
rioja,2013,23898
ceuta,2013,17229
melilla,2013,15981
andalucía,2014,16600
aragón,2014,24557
asturias,2014,19588
balears,2014,24454
canarias,2014,18268
cantabria,2014,20747
castilla y león,2014,20694
castilla - la mancha,2014,17480
cataluña,2014,26551
comunitat valenciana,2014,19641
extremadura,2014,16053
galicia,2014,19876
madrid,2014,30776
murcia,2014,18606
navarra,2014,27704
país vasco,2014,28843
rioja,2014,24586
ceuta,2014,17123
melilla,2014,15999
andalucía,2015,17458
aragón,2015,25185
asturias,2015,20497
balears,2015,25732
canarias,2015,18881
cantabria,2015,21329
castilla y león,2015,21600
castilla - la mancha,2015,18499
cataluña,2015,27806
comunitat valenciana,2015,20500
extremadura,2015,16993
galicia,2015,20934
madrid,2015,32275
murcia,2015,19901
navarra,2015,28761
país vasco,2015,29962
rioja,2015,25594
ceuta,2015,17757
melilla,2015,16506
andalucía,2016,17865
aragón,2016,26243
asturias,2016,20913
balears,2016,26922
canarias,2016,19450
cantabria,2016,22072
castilla y león,2016,22369
castilla - la mancha,2016,19149
cataluña,2016,28781
comunitat valenciana,2016,21110
extremadura,2016,17616
galicia,2016,21594
madrid,2016,33350
murcia,2016,20402
navarra,2016,29556
país vasco,2016,30833
rioja,2016,25713
ceuta,2016,18155
melilla,2016,16979
andalucía,2017,18691
aragón,2017,27357
asturias,2017,21897
balears,2017,28001
canarias,2017,20296
cantabria,2017,22922
castilla y león,2017,23076
castilla - la mancha,2017,20043
cataluña,2017,29770
comunitat valenciana,2017,21996
extremadura,2017,18761
galicia,2017,22433
madrid,2017,34592
murcia,2017,21128
navarra,2017,30631
país vasco,2017,31891
rioja,2017,26585
ceuta,2017,18262
melilla,2017,17051
andalucía,2018,19291
aragón,2018,28281
asturias,2018,22651
balears,2018,28906
canarias,2018,20853
cantabria,2018,23818
castilla y león,2018,24216
castilla - la mancha,2018,20811
cataluña,2018,30525
comunitat valenciana,2018,22723
extremadura,2018,19368
galicia,2018,23212
madrid,2018,35601
murcia,2018,21393
navarra,2018,31190
país vasco,2018,32835
rioja,2018,27470
ceuta,2018,18923
melilla,2018,17531
andalucía,2019,19744
aragón,2019,29043
asturias,2019,23220
balears,2019,29458
canarias,2019,21159
cantabria,2019,24515
castilla y león,2019,24849
castilla - la mancha,2019,21264
cataluña,2019,31300
comunitat valenciana,2019,23248
extremadura,2019,19863
galicia,2019,23901
madrid,2019,36613
murcia,2019,22015
navarra,2019,32136
país vasco,2019,33590
rioja,2019,28040
ceuta,2019,19577
melilla,2019,18073
andalucía,2020,17772
aragón,2020,27003
asturias,2020,21069
balears,2020,22611
canarias,2020,17239
cantabria,2020,22279
castilla y león,2020,22934
castilla - la mancha,2020,19675
cataluña,2020,27796
comunitat valenciana,2020,20980
extremadura,2020,18351
galicia,2020,21864
madrid,2020,32853
murcia,2020,20108
navarra,2020,28987
país vasco,2020,30115
rioja,2020,25654
ceuta,2020,18184
melilla,2020,16776
andalucía,2021,19591
aragón,2021,29144
asturias,2021,23446
balears,2021,25807
canarias,2021,19021
cantabria,2021,24303
castilla y león,2021,25020
castilla - la mancha,2021,21515
cataluña,2021,30360
comunitat valenciana,2021,22944
extremadura,2021,20363
galicia,2021,23927
madrid,2021,35703
murcia,2021,22087
navarra,2021,31486
país vasco,2021,32898
rioja,2021,27365
ceuta,2021,19661
melilla,2021,17891
andalucía,2022,21495
aragón,2022,32562
asturias,2022,26361
balears,2022,30997
canarias,2022,22096
cantabria,2022,26505
castilla y león,2022,27382
castilla - la mancha,2022,24005
cataluña,2022,33041
comunitat valenciana,2022,24736
extremadura,2022,21932
galicia,2022,26483
madrid,2022,39207
murcia,2022,24334
navarra,2022,34749
país vasco,2022,36421
rioja,2022,30260
ceuta,2022,21303
melilla,2022,19501
andalucía,2023,23218
aragón,2023,34658
asturias,2023,28130
balears,2023,34381
canarias,2023,24345
cantabria,2023,28461
castilla y león,2023,29698
castilla - la mancha,2023,25758
cataluña,2023,35325
comunitat valenciana,2023,26453
extremadura,2023,23604
galicia,2023,28644
madrid,2023,42198
murcia,2023,25887
navarra,2023,37088
país vasco,2023,39547
rioja,2023,32828
ceuta,2023,22751
melilla,2023,20479
