"","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"TOTAL NACIONAL","","","","","","","","","","","","","",""
"Hurtos","665622.0","642276.0","493479.0","420950.0","700453.0","706072.0","712398.0","711507.0","715469.0","727800.0","770296.0","790281.0","786704.0","785635.0"
"Estafas","533379.0","466566.0","373113.0","360844.0","327723.0","289259.0","214625.0","179756.0","165300.0","140440.0","122483.0","124675.0","106304.0","102567.0"
"Tráfico de drogas","21033.0","19057.0","18313.0","17112.0","16624.0","14133.0","12958.0","12448.0","12069.0","13411.0","14296.0","14509.0","15220.0","14391.0"
"ANDALUCÍA","","","","","","","","","","","","","",""
"Hurtos","95492.0","89038.0","68916.0","57435.0","91298.0","93459.0","103746.0","109491.0","110768.0","115850.0","127933.0","133759.0","134955.0","136528.0"
"Estafas","84455.0","71465.0","51085.0","47474.0","42358.0","37843.0","25204.0","21551.0","19406.0","16982.0","15064.0","15579.0","15119.0","12900.0"
"Tráfico de drogas","4790.0","4616.0","4816.0","4679.0","4366.0","3663.0","3472.0","3143.0","3086.0","3336.0","3274.0","3407.0","3513.0","3019.0"
"ARAGÓN","","","","","","","","","","","","","",""
"Hurtos","10651.0","10629.0","8925.0","6747.0","10546.0","10710.0","11004.0","11936.0","12155.0","12775.0","14058.0","16318.0","17216.0","17195.0"
"Estafas","12353.0","10951.0","9175.0","8762.0","7976.0","6751.0","4805.0","3813.0","3685.0","3174.0","2397.0","2559.0","2222.0","1862.0"
"Tráfico de drogas","552.0","420.0","407.0","323.0","351.0","336.0","270.0","252.0","285.0","313.0","343.0","262.0","318.0","311.0"
"ASTURIAS","","","","","","","","","","","","","",""
"Hurtos","7681.0","6810.0","4705.0","4148.0","6780.0","7223.0","7261.0","7638.0","8275.0","8715.0","10060.0","10381.0","9322.0","8721.0"
"Estafas","8907.0","8809.0","7061.0","6533.0","5577.0","4817.0","3553.0","2955.0","2446.0","2033.0","1646.0","1545.0","1353.0","1125.0"
"Tráfico de drogas","190.0","170.0","166.0","180.0","206.0","140.0","130.0","103.0","154.0","167.0","189.0","206.0","240.0","154.0"
"BALEARS","","","","","","","","","","","","","",""
"Hurtos","23009.0","24460.0","16433.0","12478.0","26584.0","27629.0","29183.0","27962.0","27662.0","29784.0","34526.0","33392.0","31650.0","28551.0"
"Estafas","13522.0","11589.0","10035.0","15850.0","13091.0","9821.0","6699.0","5028.0","4744.0","3651.0","3221.0","3177.0","2826.0","2634.0"
"Tráfico de drogas","776.0","627.0","389.0","431.0","656.0","514.0","483.0","500.0","419.0","560.0","561.0","435.0","436.0","320.0"
"CANARIAS","","","","","","","","","","","","","",""
"Hurtos","26245.0","23596.0","17144.0","16683.0","26122.0","27229.0","30127.0","30971.0","30242.0","30658.0","32519.0","32454.0","31825.0","29107.0"
"Estafas","19297.0","16324.0","12702.0","17540.0","14386.0","9983.0","6448.0","5481.0","5290.0","4198.0","3736.0","5267.0","4207.0","3335.0"
"Tráfico de drogas","764.0","744.0","531.0","573.0","603.0","620.0","597.0","601.0","569.0","557.0","615.0","614.0","777.0","799.0"
"CANTABRIA","","","","","","","","","","","","","",""
"Hurtos","4831.0","4878.0","3820.0","3236.0","4868.0","4669.0","4983.0","5108.0","5097.0","5436.0","5940.0","6011.0","5391.0","5194.0"
"Estafas","6161.0","5888.0","4483.0","3271.0","2261.0","2241.0","2140.0","1666.0","1371.0","1046.0","803.0","708.0","795.0","681.0"
"Tráfico de drogas","114.0","83.0","96.0","96.0","86.0","87.0","63.0","92.0","115.0","110.0","92.0","103.0","101.0","102.0"
"CASTILLA Y LEÓN","","","","","","","","","","","","","",""
"Hurtos","17611.0","17361.0","13785.0","11414.0","19206.0","19715.0","21070.0","22480.0","24474.0","25336.0","28107.0","28694.0","27745.0","28537.0"
"Estafas","25535.0","23982.0","18445.0","17531.0","14634.0","13157.0","9555.0","7852.0","6319.0","5092.0","4138.0","4130.0","3618.0","3173.0"
"Tráfico de drogas","492.0","482.0","492.0","502.0","447.0","408.0","334.0","352.0","313.0","380.0","380.0","364.0","407.0","339.0"
"CASTILLA - LA MANCHA","","","","","","","","","","","","","",""
"Hurtos","14785.0","14393.0","10970.0","9588.0","13831.0","14490.0","15200.0","15746.0","17080.0","17463.0","18960.0","18808.0","18555.0","17432.0"
"Estafas","19751.0","18821.0","14220.0","13307.0","11708.0","9482.0","6232.0","4945.0","4457.0","3957.0","3674.0","3751.0","3306.0","2754.0"
"Tráfico de drogas","595.0","560.0","570.0","552.0","465.0","439.0","426.0","361.0","352.0","438.0","482.0","418.0","444.0","409.0"
"CATALUÑA","","","","","","","","","","","","","",""
"Hurtos","170164.0","162170.0","118746.0","110685.0","192053.0","192054.0","173684.0","162942.0","165519.0","164413.0","166537.0","177583.0","179788.0","181198.0"
"Estafas","111977.0","88657.0","67922.0","64214.0","63313.0","62522.0","45006.0","38526.0","35532.0","29703.0","25363.0","24758.0","17427.0","16275.0"
"Tráfico de drogas","4368.0","3965.0","3874.0","2946.0","2615.0","2452.0","2269.0","2183.0","1953.0","2051.0","2064.0","2074.0","2169.0","1715.0"
"COMUNITAT VALENCIANA","","","","","","","","","","","","","",""
"Hurtos","77573.0","71315.0","57738.0","43801.0","68122.0","70169.0","73922.0","77169.0","78850.0","80030.0","84869.0","88359.0","89452.0","90667.0"
"Estafas","51860.0","43615.0","36352.0","32774.0","29697.0","27937.0","20851.0","17631.0","15845.0","13978.0","12428.0","12604.0","11011.0","9050.0"
"Tráfico de drogas","2566.0","2034.0","1983.0","1863.0","1979.0","1759.0","1592.0","1654.0","1506.0","1651.0","1872.0","1494.0","1399.0","1409.0"
"EXTREMADURA","","","","","","","","","","","","","",""
"Hurtos","6793.0","6388.0","4820.0","4228.0","6566.0","6616.0","7245.0","7456.0","8083.0","8619.0","9523.0","9014.0","8411.0","8710.0"
"Estafas","8335.0","7595.0","5765.0","5381.0","3873.0","3454.0","2268.0","1953.0","1748.0","1344.0","1048.0","1124.0","1005.0","907.0"
"Tráfico de drogas","315.0","265.0","324.0","301.0","323.0","233.0","201.0","198.0","201.0","270.0","306.0","291.0","313.0","253.0"
"GALICIA","","","","","","","","","","","","","",""
"Hurtos","20300.0","19527.0","15367.0","12348.0","18846.0","19903.0","20320.0","21326.0","22032.0","23027.0","24200.0","23606.0","22464.0","21461.0"
"Estafas","21800.0","25902.0","28236.0","19807.0","15690.0","12961.0","8590.0","7197.0","6171.0","4866.0","4168.0","3983.0","3383.0","2934.0"
"Tráfico de drogas","488.0","505.0","458.0","552.0","517.0","433.0","371.0","345.0","348.0","374.0","409.0","432.0","460.0","459.0"
"MADRID","","","","","","","","","","","","","",""
"Hurtos","128366.0","132920.0","108778.0","92213.0","154169.0","152704.0","156329.0","150409.0","144569.0","145386.0","151459.0","152503.0","153109.0","156514.0"
"Estafas","90148.0","80979.0","66395.0","64133.0","62020.0","51869.0","38712.0","32206.0","28952.0","23698.0","21601.0","22223.0","20151.0","21502.0"
"Tráfico de drogas","3389.0","2984.0","2502.0","2470.0","2577.0","1955.0","1608.0","1463.0","1441.0","1599.0","1737.0","1943.0","2112.0","2876.0"
"MURCIA","","","","","","","","","","","","","",""
"Hurtos","16564.0","15475.0","11925.0","9925.0","15138.0","14888.0","15261.0","15735.0","16697.0","15551.0","17166.0","17034.0","16390.0","16128.0"
"Estafas","14416.0","12221.0","9632.0","8822.0","6657.0","5948.0","3246.0","2846.0","2543.0","2236.0","2047.0","2315.0","1914.0","1483.0"
"Tráfico de drogas","580.0","527.0","506.0","389.0","360.0","287.0","293.0","264.0","248.0","239.0","317.0","312.0","305.0","314.0"
"NAVARRA","","","","","","","","","","","","","",""
"Hurtos","8661.0","8108.0","5523.0","4469.0","8538.0","7741.0","7572.0","8259.0","7845.0","8954.0","8231.0","6661.0","6124.0","5834.0"
"Estafas","9253.0","7834.0","6023.0","6393.0","5440.0","4651.0","3526.0","2935.0","2633.0","2064.0","1540.0","1565.0","1262.0","1138.0"
"Tráfico de drogas","158.0","147.0","147.0","146.0","159.0","140.0","134.0","200.0","146.0","196.0","137.0","105.0","146.0","131.0"
"PAÍS VASCO","","","","","","","","","","","","","",""
"Hurtos","30129.0","29230.0","22253.0","17916.0","30254.0","29376.0","27873.0","28944.0","28194.0","28217.0","28484.0","27500.0","26242.0","26549.0"
"Estafas","26619.0","21346.0","17352.0","18882.0","16597.0","14570.0","10724.0","8997.0","8465.0","6994.0","6312.0","6108.0","4755.0","3208.0"
"Tráfico de drogas","597.0","623.0","525.0","566.0","421.0","368.0","332.0","321.0","356.0","367.0","345.0","394.0","384.0","420.0"
"RIOJA","","","","","","","","","","","","","",""
"Hurtos","2974.0","2743.0","1789.0","1475.0","2415.0","2366.0","2563.0","2791.0","2877.0","2725.0","2943.0","3144.0","2855.0","2668.0"
"Estafas","2324.0","2494.0","1981.0","2015.0","1326.0","1052.0","458.0","397.0","449.0","444.0","482.0","532.0","475.0","308.0"
"Tráfico de drogas","93.0","98.0","75.0","72.0","105.0","73.0","80.0","63.0","61.0","62.0","69.0","69.0","62.0","64.0"
"CEUTA","","","","","","","","","","","","","",""
"Hurtos","529.0","425.0","434.0","471.0","819.0","864.0","810.0","950.0","1067.0","1193.0","1260.0","1243.0","1081.0","983.0"
"Estafas","617.0","529.0","452.0","432.0","404.0","291.0","166.0","142.0","152.0","156.0","94.0","137.0","117.0","96.0"
"Tráfico de drogas","99.0","115.0","205.0","220.0","297.0","166.0","227.0","257.0","388.0","567.0","894.0","1417.0","1413.0","1116.0"
"MELILLA","","","","","","","","","","","","","",""
"Hurtos","747.0","732.0","576.0","778.0","1202.0","1237.0","1154.0","1312.0","1328.0","1116.0","1192.0","1250.0","1181.0","1043.0"
"Estafas","506.0","536.0","448.0","442.0","386.0","373.0","98.0","100.0","119.0","127.0","94.0","69.0","67.0","68.0"
"Tráfico de drogas","60.0","69.0","230.0","232.0","76.0","48.0","64.0","82.0","112.0","158.0","206.0","167.0","198.0","174.0"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
