"comunidad","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"    Total Nacional","","","","","","","","","","","","",""
"        0 años","336,783","339,465","360,869","369,475","391,738","408,346","418,003","424,910","423,444","451,972","475,603","484,004","493,974"
"        1 año","346,269","365,236","374,063","396,241","413,253","420,930","427,184","424,800","451,484","474,677","483,549","494,927","520,785"
"        2 años","360,497","376,033","402,245","418,510","425,295","429,017","425,175","451,086","471,029","481,249","494,158","520,875","499,803"
"        3 años","381,073","404,168","424,341","430,054","432,794","426,833","451,942","470,058","479,413","492,586","521,121","501,253","496,164"
"        4 años","407,403","427,005","435,692","437,470","430,039","453,510","469,776","478,801","490,277","519,009","502,163","497,390","485,963"
"        5 años","429,321","438,615","443,317","434,169","456,405","470,187","478,811","489,252","516,643","500,214","498,183","486,889","480,714"
"        6 años","441,425","446,171","439,571","460,283","471,630","479,332","488,618","514,910","497,806","496,439","487,773","481,639","472,615"
"        7 años","449,533","442,202","465,474","474,308","481,032","489,006","513,948","496,466","494,403","486,289","482,425","473,199","453,930"
"        8 años","445,467","468,404","478,925","484,421","490,850","513,996","495,794","493,269","484,466","481,229","473,953","454,669","450,795"
"        9 años","471,776","481,121","489,664","494,122","515,333","496,182","493,013","483,484","479,637","472,954","455,476","451,444","448,594"
"        10 años","484,090","492,448","498,810","518,046","497,529","493,515","483,290","478,842","471,376","454,371","452,070","450,233","437,683"
"        11 años","495,311","501,097","522,118","499,839","494,975","484,017","478,484","470,373","452,963","451,078","451,617","439,362","424,808"
"        12 años","503,800","524,181","503,523","497,422","485,588","479,307","470,268","452,543","449,912","450,833","440,863","426,369","425,854"
"        13 años","526,652","505,220","501,449","488,288","481,200","471,410","452,940","449,693","449,762","440,312","428,021","428,100","421,234"
"        14 años","508,120","503,302","492,303","484,219","473,355","454,197","450,268","449,714","439,241","427,298","429,967","423,345","420,873"
"        15 años","507,660","494,337","488,876","476,672","456,605","451,784","450,465","439,140","426,066","429,959","425,478","422,658","425,870"
"        16 años","498,216","491,181","481,683","460,587","454,307","452,389","439,888","426,068","429,185","425,806","424,447","428,009","443,250"
"        17 años","495,222","484,505","466,637","459,199","455,618","441,973","426,879","429,727","425,304","425,147","430,624","446,188","460,327"
"        18 años","492,728","471,635","469,208","464,001","447,660","430,366","432,518","426,831","425,876","432,482","450,268","464,552","462,413"
"        19 años","481,717","475,624","475,903","456,943","437,152","437,113","429,868","428,165","432,927","451,982","468,595","466,680","472,476"
"        20 años","483,514","482,248","469,003","446,571","444,769","434,667","431,707","435,816","452,340","470,458","471,225","477,383","489,986"
"        21 años","489,872","475,310","458,957","455,234","442,602","436,716","439,439","454,958","470,401","473,056","482,020","495,028","508,399"
"        22 años","482,286","465,844","469,018","453,859","445,540","444,454","458,523","472,588","472,556","484,011","499,445","512,591","526,665"
"        23 años","472,856","477,031","468,354","458,215","453,952","463,887","476,243","474,433","483,655","500,488","516,940","530,195","550,031"
"        24 años","483,702","476,079","473,997","467,308","473,546","481,596","477,800","484,860","498,713","517,345","534,183","553,069","578,952"
"        25 años","482,585","482,112","483,500","487,082","491,087","483,148","488,028","499,099","513,825","533,293","555,641","580,841","609,717"
"        26 años","488,819","492,226","503,087","504,272","492,577","493,187","501,542","513,657","528,045","553,315","582,468","610,791","637,615"
"        27 años","498,237","511,441","519,510","504,929","501,995","506,048","515,391","526,579","547,209","578,682","611,131","637,917","681,833"
"        28 años","516,337","527,352","519,500","514,285","513,992","519,310","527,456","545,306","570,822","606,670","637,173","681,192","716,715"
"        29 años","532,003","526,720","528,459","525,521","526,286","530,744","545,620","567,532","598,045","631,564","679,501","715,183","756,407"
"        30 años","531,042","535,612","538,964","537,524","536,930","547,975","567,517","594,234","621,911","672,597","712,602","754,073","779,876"
"        31 años","539,464","545,673","550,429","546,897","553,325","569,602","593,372","617,792","662,387","705,188","750,842","777,432","816,109"
"        32 años","548,764","556,926","558,534","562,320","574,084","595,160","617,012","657,554","694,712","742,947","774,154","813,589","827,030"
"        33 años","559,340","564,503","573,090","582,482","599,051","618,074","656,065","689,532","731,912","765,962","810,101","824,679","841,399"
"        34 años","566,682","578,945","593,051","606,552","621,184","656,780","687,594","726,794","755,431","802,118","821,756","839,112","834,602"
"        35 años","580,872","598,460","616,615","628,229","659,405","688,019","724,589","750,305","791,885","813,898","836,295","832,656","827,660"
"        36 años","600,216","621,758","637,522","665,875","690,712","724,992","748,009","786,532","804,384","828,841","830,179","826,070","805,443"
"        37 años","623,210","642,557","674,479","696,761","726,580","747,805","784,127","798,979","819,116","822,880","823,813","804,343","801,500"
"        38 años","643,936","678,878","704,459","732,194","748,835","783,525","796,430","814,016","814,128","817,043","802,219","800,305","786,488"
"        39 años","679,909","708,224","739,487","753,390","784,126","795,438","811,594","809,157","808,454","796,048","798,714","785,994","777,182"
"        40 años","708,842","742,702","759,967","787,883","795,672","810,344","806,257","803,698","788,408","792,644","784,673","776,261","767,256"
"        41 años","742,824","762,849","793,597","798,635","810,239","805,001","800,752","783,654","784,968","778,576","774,613","766,630","761,391"
"        42 años","762,944","796,015","803,511","812,759","804,505","799,428","780,892","780,482","771,090","768,431","765,406","760,698","763,192"
"        43 años","795,337","805,438","817,226","806,577","799,068","779,370","777,541","767,018","761,255","760,295","759,411","762,814","742,499"
"        44 años","805,028","818,852","810,634","801,065","778,765","776,128","764,513","757,054","753,596","754,065","761,985","741,819","736,719"
"        45 años","818,348","811,900","804,630","780,336","775,268","763,035","754,484","749,441","747,320","757,006","741,083","736,245","745,554"
"        46 años","811,642","805,736","783,868","776,698","762,289","752,921","746,699","743,405","750,888","736,508","735,175","744,772","709,163"
"        47 años","804,906","784,525","779,529","763,445","751,947","744,901","740,731","747,084","731,043","730,598","743,771","708,414","685,159"
"        48 años","783,881","780,114","766,110","752,916","743,479","738,825","744,500","727,431","725,023","739,444","707,417","684,501","668,402"
"        49 años","779,486","766,331","755,165","744,070","737,234","742,650","725,186","721,450","734,100","703,335","683,535","667,591","671,725"
"        50 años","765,803","755,136","745,904","737,504","741,057","723,398","718,913","730,277","697,909","679,250","666,360","670,579","652,384"
"        51 años","754,374","745,552","738,851","741,160","721,949","716,994","727,569","694,207","674,249","662,424","669,301","651,359","637,506"
"        52 años","744,642","738,460","742,400","721,775","715,306","725,363","691,357","670,662","657,770","665,100","650,102","636,129","620,661"
"        53 años","736,906","741,484","722,726","714,836","723,509","689,099","667,960","654,124","659,853","645,880","634,651","619,243","578,688"
"        54 años","740,070","721,627","715,490","722,747","687,291","665,555","651,183","656,081","640,959","630,631","617,873","577,214","560,715"
"        55 años","720,167","714,344","723,043","686,295","663,428","648,740","653,147","637,181","625,936","613,892","575,606","559,147","534,068"
"        56 años","712,789","721,817","686,514","662,503","646,550","650,663","634,079","622,044","609,084","571,842","557,616","532,478","533,599"
"        57 años","720,224","684,897","662,088","645,244","648,031","631,286","618,772","605,170","567,512","553,631","530,778","531,777","530,694"
"        58 años","682,904","660,394","644,931","646,367","628,565","615,994","601,822","563,943","549,290","527,146","530,113","528,632","495,616"
"        59 años","657,816","642,976","645,571","626,709","613,057","599,054","560,357","545,630","522,788","526,530","526,710","493,856","484,247"
"        60 años","640,578","643,008","625,821","610,903","596,331","557,452","542,289","519,178","522,233","523,164","492,123","482,307","502,562"
"        61 años","640,071","623,113","609,403","594,260","554,650","539,393","515,848","518,778","518,944","488,730","480,468","500,564","525,738"
"        62 años","620,002","606,309","592,349","552,321","536,606","512,880","515,367","515,134","484,697","476,895","498,624","523,413","480,070"
"        63 años","602,932","589,121","550,383","534,078","509,893","512,187","511,494","481,086","472,834","494,698","520,838","477,697","458,354"
"        64 años","585,700","546,765","532,215","507,173","508,991","507,896","477,779","469,041","490,174","516,723","475,190","455,808","478,523"
"        65 años","543,309","528,239","504,913","506,173","504,613","474,413","465,526","486,035","511,996","471,497","453,243","475,734","455,037"
"        66 años","524,934","501,139","503,828","501,520","471,170","461,791","481,876","507,311","466,838","449,382","472,709","451,975","447,288"
"        67 años","497,753","499,477","498,597","467,787","457,731","477,473","502,197","462,059","444,598","467,793","448,581","443,625","385,551"
"        68 años","495,138","493,384","464,539","453,855","472,838","496,944","456,907","439,612","462,180","443,758","439,888","381,818","354,225"
"        69 años","488,516","459,444","450,241","468,157","491,266","451,553","434,342","456,627","437,920","434,369","378,038","350,471","432,844"
"        70 años","454,666","444,415","463,711","485,688","445,979","428,767","450,459","431,994","428,157","372,901","346,387","427,708","287,944"
"        71 años","439,053","457,088","480,302","440,245","422,833","444,214","425,415","421,736","366,916","341,189","422,244","283,928","324,996"
"        72 años","450,902","472,417","434,500","416,695","437,354","418,757","415,175","360,898","335,390","415,290","279,579","319,879","360,552"
"        73 años","465,296","426,705","410,728","430,381","411,481","407,971","354,516","329,515","407,607","274,307","314,520","354,442","390,794"
"        74 años","419,502","402,442","423,135","404,038","400,249","347,651","323,235","399,580","268,358","307,953","347,863","383,006","374,287"
"        75 años","394,987","413,442","396,413","392,331","340,192","316,286","391,068","262,313","300,680","339,794","374,869","366,384","365,894"
"        76 años","404,408","386,217","384,172","332,426","308,747","381,883","255,815","293,119","331,344","365,438","357,810","357,207","367,947"
"        77 años","376,882","373,110","324,674","300,824","371,952","248,958","285,180","322,424","355,247","347,690","347,690","357,895","355,304"
"        78 años","362,982","314,298","292,979","361,290","241,230","276,815","312,585","344,589","337,002","336,737","347,179","344,544","328,519"
"        79 años","304,578","282,591","350,599","233,201","267,462","302,460","332,660","325,712","325,122","334,876","333,075","317,209","320,127"
"        80 años","272,800","336,309","225,177","257,425","291,109","320,387","313,412","313,089","321,908","319,838","305,043","307,637","290,653"
"        81 años","322,563","214,453","247,353","279,101","306,998","300,757","299,587","308,365","306,105","291,137","294,100","277,571","274,896"
"        82 años","204,762","234,217","266,691","292,631","286,434","285,722","293,011","291,740","277,099","278,996","263,832","260,972","244,068"
"        83 años","221,993","250,908","277,956","271,264","270,520","277,555","275,427","262,244","263,453","248,334","246,365","230,008","229,793"
"        84 años","236,192","259,304","255,974","254,562","260,713","259,030","245,767","247,213","232,838","229,946","215,288","215,033","203,775"
"        85 años","242,100","236,390","238,236","242,829","241,253","228,890","229,187","216,729","213,695","198,956","199,246","188,873","184,418"
"        85 y más años","1,600,586","1,561,885","1,554,956","1,507,329","1,457,583","1,404,912","1,350,043","1,298,439","1,241,918","1,181,697","1,139,735","1,075,950","1,015,906"
"        86 años","218,667","217,753","224,904","222,739","210,811","211,192","199,054","196,721","183,035","182,137","173,569","169,267","162,464"
"        87 años","199,113","202,786","204,124","192,113","192,344","181,753","178,297","166,766","165,647","156,639","153,678","147,748","143,846"
"        88 años","182,761","181,732","174,009","173,114","163,172","160,638","149,230","148,866","140,320","137,053","132,691","128,873","117,763"
"        89 años","161,880","152,188","154,396","144,692","141,937","132,386","130,947","124,450","121,217","116,281","114,013","103,899","96,217"
"        90 años","133,319","132,455","127,057","123,650","114,742","114,233","107,659","105,687","101,296","98,294","90,570","83,606","70,855"
"        91 años","113,937","106,697","106,540","97,910","97,348","92,238","89,669","86,681","84,074","76,540","71,564","60,577","59,215"
"        92 años","89,845","87,490","82,809","81,600","77,050","75,404","72,027","70,896","64,269","59,367","51,156","49,853","46,324"
"        93 años","72,501","66,413","67,473","63,292","61,770","59,397","57,582","52,979","49,046","41,546","41,292","38,213","36,417"
