Comunidades y Ciudades Autónomas;Sexo;Grupos de edad;Periodo;Total
01 Andalucía;Hombres;De 10 a 14 años;2010;77,53
01 Andalucía;Hombres;De 15 a 19 años;2010;105,06
01 Andalucía;Hombres;De 20 a 24 años;2010;106,41
01 Andalucía;Hombres;De 25 a 29 años;2010;80,19
01 Andalucía;Hombres;De 30 a 34 años;2010;58,25
01 Andalucía;Hombres;De 35 a 39 años;2010;51,67
01 Andalucía;Hombres;De 40 a 44 años;2010;47,26
01 Andalucía;Hombres;De 45 a 49 años;2010;44,76
01 Andalucía;Hombres;De 50 a 54 años;2010;52,92
01 Andalucía;Hombres;De 55 a 59 años;2010;63,08
01 Andalucía;Hombres;De 60 a 64 años;2010;71,51
01 Andalucía;Hombres;De 65 a 69 años;2010;67,42
01 Andalucía;Hombres;De 70 a 74 años;2010;44,84
01 Andalucía;Hombres;75 y más años;2010;24,72
01 Andalucía;Mujeres;De 10 a 14 años;2010;81,4
01 Andalucía;Mujeres;De 15 a 19 años;2010;108,59
01 Andalucía;Mujeres;De 20 a 24 años;2010;133,09
01 Andalucía;Mujeres;De 25 a 29 años;2010;89,67
01 Andalucía;Mujeres;De 30 a 34 años;2010;65,94
01 Andalucía;Mujeres;De 35 a 39 años;2010;61,03
01 Andalucía;Mujeres;De 40 a 44 años;2010;60,78
01 Andalucía;Mujeres;De 45 a 49 años;2010;57,7
01 Andalucía;Mujeres;De 50 a 54 años;2010;67,88
01 Andalucía;Mujeres;De 55 a 59 años;2010;71,89
01 Andalucía;Mujeres;De 60 a 64 años;2010;74,48
01 Andalucía;Mujeres;De 65 a 69 años;2010;63,34
01 Andalucía;Mujeres;De 70 a 74 años;2010;41,01
01 Andalucía;Mujeres;75 y más años;2010;33,26
02 Aragón;Hombres;De 10 a 14 años;2010;68
02 Aragón;Hombres;De 15 a 19 años;2010;105,34
02 Aragón;Hombres;De 20 a 24 años;2010;85,76
02 Aragón;Hombres;De 25 a 29 años;2010;50,45
02 Aragón;Hombres;De 30 a 34 años;2010;33,32
02 Aragón;Hombres;De 35 a 39 años;2010;29
02 Aragón;Hombres;De 40 a 44 años;2010;26,22
02 Aragón;Hombres;De 45 a 49 años;2010;24,44
02 Aragón;Hombres;De 50 a 54 años;2010;33,05
02 Aragón;Hombres;De 55 a 59 años;2010;42,03
02 Aragón;Hombres;De 60 a 64 años;2010;71,08
02 Aragón;Hombres;De 65 a 69 años;2010;64,7
