,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,212804.0,183590.0,161406.0,186110.0,177165.0,174217.0,166431.0,223893.0,281713.0,274655.0,286446.0,300654.0,297488.0,
    1.1.-Homicidios dolosos/asesinatos,1539.0,1322.0,1201.0,1167.0,1088.0,1106.0,1107.0,964.0,1048.0,964.0,1125.0,1210.0,1177.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,325.0,293.0,298.0,331.0,289.0,307.0,294.0,302.0,323.0,302.0,364.0,385.0,401.0,
    1.2.-Lesiones,113704.0,96159.0,81449.0,103341.0,99928.0,100354.0,97108.0,97012.0,98821.0,100193.0,105913.0,112824.0,113067.0,
    1.4.-Otros contra las personas,4866.0,4106.0,3553.0,4178.0,3840.0,2945.0,2114.0,61799.0,119452.0,113679.0,119705.0,124360.0,122937.0,
    2.2.-Otros contra la libertad,128214.0,124859.0,111017.0,111110.0,106723.0,104793.0,100939.0,63139.0,26995.0,26646.0,26953.0,27437.0,25106.0,
    3.3.-Corrupción de menores o incapacitados,384.0,347.0,350.0,369.0,268.0,400.0,368.0,432.0,386.0,320.0,278.0,253.0,345.0,
    3.4.-Pornografía de menores,707.0,739.0,762.0,866.0,892.0,767.0,621.0,748.0,625.0,508.0,569.0,715.0,953.0,
    3.5.-Otros contra la libertad sexual,2226.0,2074.0,2001.0,2120.0,1895.0,1809.0,1829.0,1683.0,1685.0,1552.0,1429.0,1558.0,1600.0,
    5. PATRIMONIO,1747464.0,1434698.0,1304424.0,1707144.0,1664242.0,1593930.0,1572967.0,1573983.0,1595984.0,1679585.0,1754632.0,1742631.0,1779019.0,
    5.1.-Hurtos,642276.0,493479.0,420950.0,700453.0,706072.0,712398.0,711507.0,715469.0,727800.0,770296.0,790281.0,786704.0,785635.0,
    5.2.-Robos con fuerza en las cosas,265901.0,229137.0,219091.0,298098.0,302043.0,301734.0,318164.0,322705.0,344875.0,381777.0,405939.0,414961.0,443772.0,
    5.3.-Robos con violencia o intimidación,63392.0,53073.0,45263.0,65874.0,60295.0,61763.0,62952.0,64581.0,70855.0,86034.0,96607.0,87718.0,84411.0,
    5.4.-Sustracción de vehículos,30767.0,26417.0,25387.0,35105.0,35897.0,42519.0,43335.0,43170.0,43206.0,48855.0,55197.0,60061.0,65948.0,
    5.5.-Estafas,465906.0,372678.0,360551.0,327616.0,289182.0,214595.0,179718.0,165267.0,140418.0,122464.0,124647.0,106262.0,102567.0,
    5.5.1.-Estafas informáticas,335995.0,267011.0,257907.0,192375.0,88760.0,60511.0,45894.0,40864.0,32842.0,26664.0,27231.0,21075.0,20563.0,
    5.6.-Daños,213694.0,201828.0,180429.0,219424.0,213815.0,214246.0,214709.0,215519.0,218166.0,226619.0,246355.0,254361.0,266291.0,
    5.8.-Blanqueo de capitales,411.0,343.0,310.0,295.0,272.0,260.0,262.0,290.0,230.0,243.0,199.0,171.0,182.0,
    5.9.-Otros contra el patrimonio,63900.0,56567.0,51513.0,58472.0,54461.0,44793.0,40431.0,44935.0,47826.0,40037.0,32523.0,29750.0,26594.0,
    6.1.-Tráfico de drogas,19057.0,18313.0,17112.0,16624.0,14133.0,12958.0,12448.0,12069.0,13411.0,14296.0,14509.0,15220.0,14391.0,
    7. FALSEDADES,37717.0,34058.0,24020.0,24529.0,22399.0,20640.0,19958.0,19224.0,18408.0,17262.0,18223.0,20175.0,17502.0,
    8. ADMÓN. PÚBLICA,509.0,541.0,350.0,416.0,510.0,668.0,553.0,535.0,521.0,391.0,325.0,341.0,416.0,
    9. ADMÓN. JUSTICIA,37910.0,33370.0,31140.0,32082.0,30290.0,29001.0,27647.0,27538.0,28034.0,27245.0,28205.0,29410.0,27905.0,
    10. ORDEN PÚBLICO,28562.0,27594.0,30272.0,21877.0,20121.0,19591.0,18867.0,23160.0,29466.0,31489.0,33582.0,36317.0,33767.0,
    11. LEGISLACIÓN ESPECIAL,330.0,343.0,325.0,306.0,209.0,165.0,143.0,192.0,185.0,205.0,237.0,285.0,234.0,
    TOTAL INFRACCIONES PENALES,2323075.0,1957719.0,1766779.0,2199475.0,2131118.0,2045784.0,2009690.0,2036815.0,2092040.0,2172133.0,2268867.0,2285525.0,2297484.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,42594.0,37296.0,33578.0,37130.0,35043.0,35087.0,33661.0,47420.0,59774.0,56840.0,59894.0,64275.0,63795.0,
    1.1.-Homicidios dolosos/asesinatos,358.0,274.0,298.0,238.0,262.0,256.0,295.0,218.0,224.0,247.0,247.0,305.0,276.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,74.0,55.0,61.0,82.0,72.0,49.0,68.0,65.0,69.0,65.0,68.0,85.0,78.0,
    1.2.-Lesiones,23218.0,19996.0,17412.0,20624.0,19547.0,20068.0,19149.0,19400.0,20038.0,19956.0,20923.0,22084.0,22742.0,
    1.4.-Otros contra las personas,899.0,712.0,647.0,813.0,793.0,584.0,470.0,13771.0,26204.0,24396.0,26202.0,28084.0,27928.0,
    2.2.-Otros contra la libertad,25760.0,24485.0,23391.0,22999.0,21842.0,21570.0,20481.0,11879.0,4383.0,4194.0,4194.0,4369.0,4082.0,
    3.3.-Corrupción de menores o incapacitados,84.0,68.0,74.0,92.0,63.0,104.0,64.0,98.0,95.0,87.0,47.0,64.0,75.0,
    3.4.-Pornografía de menores,118.0,125.0,149.0,132.0,154.0,153.0,111.0,136.0,85.0,86.0,85.0,97.0,138.0,
    3.5.-Otros contra la libertad sexual,505.0,395.0,383.0,423.0,380.0,377.0,356.0,321.0,352.0,309.0,309.0,285.0,317.0,
    5. PATRIMONIO,264965.0,210150.0,190744.0,239711.0,240939.0,242164.0,243163.0,241975.0,249797.0,273325.0,289754.0,295431.0,303476.0,
    5.1.-Hurtos,89038.0,68916.0,57435.0,91298.0,93459.0,103746.0,109491.0,110768.0,115850.0,127933.0,133759.0,134955.0,136528.0,
    5.2.-Robos con fuerza en las cosas,44168.0,36839.0,37257.0,47542.0,50084.0,52435.0,54283.0,54298.0,58021.0,67166.0,70769.0,74161.0,79070.0,
    5.3.-Robos con violencia o intimidación,7335.0,5911.0,5187.0,7302.0,7093.0,7668.0,7431.0,7283.0,8291.0,10531.0,11673.0,11867.0,12194.0,
    5.4.-Sustracción de vehículos,5578.0,4848.0,4821.0,6511.0,6872.0,8755.0,8835.0,9008.0,8312.0,9125.0,11294.0,12037.0,14065.0,
    5.5.-Estafas,71365.0,51014.0,47435.0,42331.0,37835.0,25201.0,21545.0,19399.0,16980.0,15060.0,15575.0,15107.0,12900.0,
    5.5.1.-Estafas informáticas,49323.0,35288.0,33036.0,23237.0,15081.0,10366.0,8165.0,6536.0,5666.0,4481.0,4378.0,3609.0,3433.0,
    5.6.-Daños,34850.0,31827.0,28242.0,33332.0,34236.0,35372.0,34528.0,33579.0,34646.0,36487.0,41013.0,42657.0,44486.0,
    5.8.-Blanqueo de capitales,107.0,86.0,72.0,82.0,82.0,61.0,57.0,71.0,88.0,71.0,53.0,46.0,49.0,
    5.9.-Otros contra el patrimonio,12347.0,10492.0,10055.0,10874.0,10714.0,8481.0,6470.0,7043.0,6846.0,5981.0,4788.0,4022.0,3375.0,
    6.1.-Tráfico de drogas,4616.0,4816.0,4679.0,4366.0,3663.0,3472.0,3143.0,3086.0,3336.0,3274.0,3407.0,3513.0,3019.0,
    7. FALSEDADES,6385.0,5643.0,4071.0,3988.0,3740.0,3594.0,3606.0,3524.0,3150.0,3013.0,3211.0,3265.0,2638.0,
    8. ADMÓN. PÚBLICA,91.0,77.0,68.0,93.0,123.0,120.0,190.0,146.0,215.0,103.0,67.0,70.0,101.0,
    9. ADMÓN. JUSTICIA,7625.0,6732.0,6662.0,6728.0,6464.0,6196.0,5870.0,6379.0,6650.0,6347.0,6422.0,6537.0,5957.0,
    10. ORDEN PÚBLICO,5077.0,4900.0,5807.0,4172.0,3889.0,3573.0,3450.0,4252.0,5224.0,5666.0,5800.0,6492.0,6181.0,
    11. LEGISLACIÓN ESPECIAL,215.0,241.0,230.0,191.0,129.0,91.0,86.0,72.0,56.0,76.0,82.0,106.0,78.0,
    TOTAL INFRACCIONES PENALES,379133.0,314894.0,287594.0,339321.0,334841.0,334331.0,331836.0,337124.0,352221.0,373846.0,394940.0,407120.0,409396.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,5597.0,4530.0,4083.0,4760.0,4474.0,4146.0,4005.0,4735.0,5975.0,6330.0,5987.0,6848.0,6752.0,
    1.1.-Homicidios dolosos/asesinatos,37.0,18.0,39.0,15.0,17.0,23.0,25.0,23.0,18.0,14.0,16.0,14.0,23.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,10.0,5.0,4.0,6.0,9.0,8.0,8.0,9.0,5.0,7.0,6.0,6.0,10.0,
    1.2.-Lesiones,2838.0,2235.0,1798.0,2407.0,2249.0,2137.0,2073.0,2016.0,2219.0,2329.0,2294.0,2584.0,2658.0,
    1.4.-Otros contra las personas,95.0,110.0,88.0,92.0,115.0,57.0,43.0,1006.0,2020.0,2268.0,2119.0,2337.0,2558.0,
    2.2.-Otros contra la libertad,2437.0,2477.0,2182.0,1991.0,1960.0,1822.0,1883.0,1080.0,546.0,522.0,535.0,575.0,548.0,
    3.3.-Corrupción de menores o incapacitados,18.0,14.0,10.0,11.0,11.0,11.0,20.0,21.0,17.0,18.0,8.0,15.0,7.0,
    3.4.-Pornografía de menores,20.0,28.0,13.0,20.0,26.0,18.0,8.0,19.0,16.0,14.0,17.0,24.0,29.0,
    3.5.-Otros contra la libertad sexual,51.0,43.0,55.0,40.0,50.0,40.0,39.0,33.0,34.0,40.0,30.0,35.0,41.0,
    5. PATRIMONIO,34667.0,30192.0,25509.0,31651.0,29952.0,28437.0,28874.0,29101.0,30042.0,32032.0,35860.0,38211.0,39806.0,
    5.1.-Hurtos,10629.0,8925.0,6747.0,10546.0,10710.0,11004.0,11936.0,12155.0,12775.0,14058.0,16318.0,17216.0,17195.0,
