
Series anuales. Hechos esclarecidos
Hechos esclarecidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos esclarecidos

,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,181894.0,159540.0,141869.0,159909.0,153525.0,150363.0,145212.0,189246.0,233846.0,230390.0,237300.0,244461.0,244533.0,
    1.1.-Homicidios dolosos/asesinatos,1384.0,1165.0,1101.0,1090.0,1008.0,1029.0,1019.0,893.0,950.0,889.0,1031.0,1107.0,1103.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,319.0,261.0,279.0,254.0,227.0,236.0,210.0,244.0,232.0,228.0,252.0,271.0,281.0,
    1.2.-Lesiones,86577.0,74813.0,64416.0,79537.0,78214.0,78624.0,77292.0,76483.0,78117.0,80397.0,83307.0,86806.0,88238.0,
    1.4.-Otros contra las personas,3666.0,3136.0,2653.0,3122.0,2889.0,2121.0,1408.0,48753.0,93337.0,90115.0,94059.0,95505.0,95599.0,
    2.2.-Otros contra la libertad,94414.0,91801.0,83006.0,84386.0,81638.0,81636.0,77816.0,48158.0,21882.0,21820.0,21744.0,22198.0,20459.0,
    3.3.-Corrupción de menores o incapacitados,269.0,239.0,242.0,276.0,206.0,333.0,292.0,358.0,286.0,253.0,197.0,173.0,244.0,
    3.4.-Pornografía de menores,464.0,502.0,450.0,620.0,668.0,518.0,477.0,540.0,425.0,305.0,363.0,348.0,483.0,
    3.5.-Otros contra la libertad sexual,1432.0,1332.0,1273.0,1415.0,1258.0,1243.0,1292.0,1177.0,1246.0,1208.0,1049.0,1169.0,1250.0,
    5. PATRIMONIO,305922.0,260085.0,233211.0,291270.0,281008.0,274547.0,273027.0,273069.0,298162.0,314507.0,293922.0,282680.0,286627.0,
    5.1.-Hurtos,113226.0,89799.0,77262.0,111318.0,109908.0,109895.0,109627.0,111625.0,120763.0,126519.0,117459.0,109396.0,105448.0,
    5.2.-Robos con fuerza en las cosas,35668.0,31201.0,31282.0,39704.0,40365.0,43532.0,45511.0,44417.0,54622.0,62150.0,54572.0,55755.0,61805.0,
    5.3.-Robos con violencia o intimidación,19040.0,16037.0,14569.0,18196.0,16043.0,16049.0,16355.0,16028.0,18383.0,22064.0,21820.0,21146.0,21666.0,
    5.4.-Sustracción de vehículos,9325.0,7893.0,8159.0,10981.0,10988.0,11909.0,11878.0,11660.0,11690.0,13105.0,13875.0,15519.0,17252.0,
    5.5.-Estafas,62943.0,53679.0,46539.0,49834.0,46066.0,39222.0,37893.0,36055.0,35647.0,34840.0,33999.0,30296.0,28514.0,
    5.5.1.-Estafas informáticas,33988.0,28723.0,22809.0,16900.0,13267.0,10953.0,10043.0,9126.0,7884.0,7017.0,5938.0,4735.0,4931.0,
    5.6.-Daños,31558.0,29943.0,25708.0,28309.0,26845.0,27284.0,26196.0,26091.0,27775.0,28849.0,30207.0,31461.0,33303.0,
    5.8.-Blanqueo de capitales,367.0,311.0,287.0,265.0,257.0,241.0,244.0,273.0,216.0,241.0,182.0,149.0,162.0,
    5.9.-Otros contra el patrimonio,32727.0,30204.0,28613.0,31090.0,28516.0,24968.0,23610.0,25055.0,26610.0,23594.0,19112.0,16595.0,15056.0,
    6.1.-Tráfico de drogas,16629.0,15631.0,14717.0,15191.0,13140.0,12126.0,11700.0,11390.0,12657.0,13844.0,13920.0,14583.0,13155.0,
    7. FALSEDADES,15190.0,14417.0,11492.0,14629.0,14042.0,12764.0,12378.0,11438.0,11383.0,11173.0,11745.0,11860.0,11343.0,
    8. ADMÓN. PÚBLICA,363.0,407.0,231.0,327.0,447.0,532.0,418.0,384.0,426.0,310.0,238.0,268.0,345.0,
    9. ADMÓN. JUSTICIA,35972.0,31841.0,29679.0,30472.0,28851.0,27356.0,26178.0,25917.0,26405.0,26383.0,26279.0,27459.0,26593.0,
    10. ORDEN PÚBLICO,26520.0,25517.0,28039.0,20350.0,18781.0,18235.0,17642.0,21118.0,26958.0,29157.0,30724.0,32851.0,31038.0,
    11. LEGISLACIÓN ESPECIAL,287.0,289.0,270.0,259.0,193.0,152.0,131.0,180.0,188.0,261.0,257.0,262.0,212.0,
    TOTAL INFRACCIONES PENALES,771302.0,685383.0,616665.0,702544.0,673594.0,654821.0,641353.0,659787.0,715357.0,736368.0,728929.0,736175.0,724995.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,38080.0,33685.0,30706.0,33503.0,31872.0,31647.0,30676.0,42430.0,52827.0,51311.0,53296.0,56170.0,55826.0,
    1.1.-Homicidios dolosos/asesinatos,329.0,264.0,297.0,225.0,244.0,246.0,274.0,211.0,210.0,232.0,240.0,284.0,275.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,74.0,50.0,67.0,75.0,67.0,52.0,62.0,61.0,63.0,55.0,66.0,77.0,80.0,
    1.2.-Lesiones,18851.0,16477.0,14592.0,17105.0,16429.0,16767.0,16117.0,16389.0,17083.0,17566.0,18117.0,18669.0,19331.0,
    1.4.-Otros contra las personas,747.0,594.0,548.0,649.0,657.0,468.0,392.0,11774.0,22172.0,21225.0,22380.0,23430.0,23355.0,
    2.2.-Otros contra la libertad,19824.0,19111.0,18368.0,18447.0,17528.0,17796.0,16523.0,9556.0,3816.0,3670.0,3636.0,3808.0,3596.0,
    3.3.-Corrupción de menores o incapacitados,51.0,42.0,53.0,66.0,51.0,85.0,49.0,88.0,75.0,79.0,36.0,51.0,59.0,
    3.4.-Pornografía de menores,82.0,94.0,105.0,100.0,121.0,109.0,88.0,103.0,63.0,57.0,52.0,44.0,64.0,
    3.5.-Otros contra la libertad sexual,296.0,286.0,251.0,304.0,272.0,257.0,241.0,237.0,281.0,256.0,234.0,239.0,256.0,
    5. PATRIMONIO,56923.0,49028.0,43658.0,51761.0,51256.0,51251.0,49448.0,50214.0,53849.0,57538.0,54704.0,51414.0,52828.0,
    5.1.-Hurtos,18910.0,15117.0,12869.0,18160.0,18258.0,19097.0,19124.0,20281.0,22250.0,22824.0,21658.0,19394.0,18730.0,
    5.2.-Robos con fuerza en las cosas,7755.0,6969.0,6465.0,7476.0,8228.0,8975.0,8675.0,8591.0,9639.0,11846.0,10744.0,11047.0,12521.0,
    5.3.-Robos con violencia o intimidación,3169.0,2631.0,2462.0,3013.0,2811.0,2889.0,2731.0,2744.0,3108.0,3613.0,3661.0,3545.0,3699.0,
    5.4.-Sustracción de vehículos,1678.0,1532.0,1433.0,1758.0,1699.0,2086.0,2098.0,1815.0,1863.0,2154.0,2428.0,2613.0,2918.0,
    5.5.-Estafas,12342.0,10650.0,9306.0,9416.0,8717.0,7376.0,7178.0,6968.0,6691.0,6604.0,6476.0,5842.0,5651.0,
    5.5.1.-Estafas informáticas,7213.0,6171.0,5180.0,3958.0,3064.0,2649.0,2468.0,2269.0,1835.0,1615.0,1410.0,1140.0,1199.0,
    5.6.-Daños,6038.0,5803.0,5174.0,5468.0,5141.0,5310.0,4817.0,4684.0,4801.0,5187.0,5698.0,5685.0,6008.0,
    5.8.-Blanqueo de capitales,95.0,80.0,66.0,81.0,80.0,54.0,55.0,68.0,85.0,70.0,52.0,43.0,44.0,
    5.9.-Otros contra el patrimonio,6774.0,6047.0,5659.0,5971.0,5779.0,5047.0,4276.0,4574.0,4702.0,4310.0,3223.0,2741.0,2490.0,
    6.1.-Tráfico de drogas,4087.0,4238.0,4183.0,3983.0,3422.0,3169.0,2875.0,2854.0,3168.0,3167.0,3286.0,3377.0,2948.0,
    7. FALSEDADES,2799.0,2614.0,2122.0,2303.0,2333.0,2133.0,2171.0,2077.0,1920.0,1996.0,2109.0,2043.0,1871.0,
    8. ADMÓN. PÚBLICA,68.0,62.0,54.0,84.0,109.0,98.0,141.0,116.0,201.0,95.0,57.0,62.0,89.0,
    9. ADMÓN. JUSTICIA,7544.0,6697.0,6625.0,6708.0,6422.0,6057.0,5850.0,6266.0,6600.0,6567.0,6277.0,6398.0,5912.0,
    10. ORDEN PÚBLICO,4964.0,4776.0,5675.0,4057.0,3765.0,3473.0,3371.0,4132.0,5075.0,5588.0,5672.0,6282.0,6068.0,
    11. LEGISLACIÓN ESPECIAL,184.0,201.0,196.0,169.0,124.0,85.0,82.0,64.0,55.0,76.0,76.0,98.0,75.0,
    TOTAL INFRACCIONES PENALES,154111.0,139211.0,128611.0,139450.0,134364.0,132761.0,127979.0,134878.0,145957.0,150167.0,150129.0,151460.0,148333.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,5087.0,4071.0,3780.0,4264.0,4094.0,3806.0,3684.0,4285.0,5248.0,5614.0,5302.0,5938.0,5680.0,
    1.1.-Homicidios dolosos/asesinatos,37.0,17.0,40.0,16.0,14.0,24.0,25.0,21.0,18.0,14.0,17.0,14.0,22.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,10.0,5.0,4.0,7.0,7.0,8.0,9.0,7.0,5.0,7.0,7.0,6.0,10.0,
    1.2.-Lesiones,2335.0,1798.0,1524.0,1938.0,1903.0,1804.0,1756.0,1726.0,1886.0,2002.0,1930.0,2125.0,2110.0,
    1.4.-Otros contra las personas,87.0,92.0,70.0,81.0,100.0,49.0,41.0,842.0,1621.0,1874.0,1799.0,1894.0,2038.0,
    2.2.-Otros contra la libertad,1901.0,1835.0,1664.0,1647.0,1604.0,1519.0,1509.0,906.0,463.0,430.0,461.0,489.0,452.0,
    3.3.-Corrupción de menores o incapacitados,10.0,8.0,7.0,9.0,6.0,13.0,14.0,16.0,13.0,15.0,8.0,11.0,7.0,
    3.4.-Pornografía de menores,16.0,21.0,12.0,15.0,24.0,18.0,4.0,18.0,12.0,10.0,12.0,10.0,17.0,
    3.5.-Otros contra la libertad sexual,46.0,39.0,45.0,28.0,34.0,30.0,29.0,25.0,25.0,31.0,22.0,27.0,33.0,
    5. PATRIMONIO,7171.0,6273.0,5265.0,6140.0,6098.0,6140.0,6361.0,5888.0,6931.0,7228.0,6750.0,6792.0,6812.0,
    5.1.-Hurtos,2564.0,2150.0,1731.0,2387.0,2504.0,2452.0,2555.0,2579.0,2833.0,3020.0,2773.0,2601.0,2716.0,
    5.2.-Robos con fuerza en las cosas,900.0,788.0,795.0,825.0,732.0,909.0,1011.0,799.0,1240.0,1327.0,1127.0,1253.0,1228.0,
    5.3.-Robos con violencia o intimidación,569.0,458.0,369.0,397.0,368.0,347.0,376.0,321.0,372.0,455.0,507.0,491.0,463.0,
    5.4.-Sustracción de vehículos,97.0,93.0,81.0,67.0,106.0,126.0,108.0,106.0,137.0,157.0,166.0,206.0,205.0,
    5.5.-Estafas,1619.0,1372.0,1047.0,1181.0,1116.0,1055.0,1017.0,836.0,863.0,871.0,818.0,823.0,747.0,
    5.5.1.-Estafas informáticas,944.0,827.0,645.0,505.0,442.0,342.0,306.0,245.0,238.0,197.0,185.0,152.0,141.0,
    5.6.-Daños,871.0,860.0,727.0,701.0,686.0,770.0,789.0,687.0,849.0,810.0,917.0,994.0,1020.0,
    5.8.-Blanqueo de capitales,11.0,7.0,9.0,2.0,2.0,3.0,9.0,4.0,4.0,7.0,4.0,6.0,1.0,
    5.9.-Otros contra el patrimonio,523.0,521.0,491.0,552.0,566.0,462.0,470.0,512.0,572.0,520.0,390.0,355.0,337.0,
    6.1.-Tráfico de drogas,411.0,403.0,316.0,343.0,328.0,262.0,240.0,268.0,303.0,341.0,256.0,312.0,305.0,
    7. FALSEDADES,324.0,318.0,278.0,258.0,258.0,221.0,219.0,181.0,197.0,241.0,223.0,213.0,193.0,
    8. ADMÓN. PÚBLICA,12.0,1.0,12.0,3.0,7.0,6.0,6.0,10.0,9.0,20.0,3.0,16.0,9.0,
    9. ADMÓN. JUSTICIA,861.0,683.0,679.0,785.0,714.0,606.0,582.0,665.0,783.0,648.0,603.0,625.0,585.0,
    10. ORDEN PÚBLICO,862.0,656.0,806.0,562.0,515.0,445.0,422.0,483.0,617.0,726.0,736.0,844.0,755.0,
    11. LEGISLACIÓN ESPECIAL,3.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,
    TOTAL INFRACCIONES PENALES,18846.0,16219.0,14512.0,15878.0,15435.0,14621.0,14638.0,14234.0,16203.0,16931.0,16216.0,17361.0,16644.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,3651.0,3060.0,2908.0,3174.0,2971.0,2977.0,2990.0,3942.0,4935.0,5161.0,5125.0,5650.0,5422.0,
    1.1.-Homicidios dolosos/asesinatos,22.0,9.0,15.0,19.0,18.0,14.0,21.0,17.0,25.0,17.0,15.0,22.0,36.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,1.0,6.0,7.0,8.0,4.0,5.0,4.0,7.0,8.0,6.0,9.0,18.0,
    1.2.-Lesiones,1968.0,1587.0,1453.0,1748.0,1654.0,1726.0,1741.0,1736.0,1690.0,1888.0,1901.0,2091.0,1990.0,
    1.4.-Otros contra las personas,60.0,58.0,50.0,52.0,47.0,47.0,46.0,1011.0,2012.0,2041.0,1928.0,2064.0,2064.0,
    2.2.-Otros contra la libertad,1768.0,1553.0,1550.0,1549.0,1435.0,1596.0,1484.0,899.0,351.0,415.0,429.0,393.0,410.0,
    3.3.-Corrupción de menores o incapacitados,8.0,7.0,0.0,2.0,9.0,1.0,2.0,3.0,5.0,7.0,2.0,7.0,4.0,
    3.4.-Pornografía de menores,8.0,17.0,8.0,9.0,11.0,8.0,8.0,7.0,7.0,9.0,10.0,6.0,18.0,
    3.5.-Otros contra la libertad sexual,26.0,28.0,18.0,22.0,30.0,16.0,21.0,11.0,19.0,16.0,13.0,11.0,14.0,
    5. PATRIMONIO,6150.0,4908.0,4235.0,5016.0,4682.0,4662.0,4709.0,4832.0,5699.0,5843.0,5381.0,5097.0,5200.0,
    5.1.-Hurtos,2175.0,1600.0,1372.0,2088.0,2030.0,1911.0,1809.0,1897.0,2295.0,2496.0,2407.0,2016.0,1961.0,
