"Comunidad","Sexo","edad","Fecha","Total"
"Andalucía","Hombres","De 10 a 14 años","2010","77.53"
"Andalucía","Hombres","De 15 a 19 años","2010","105.06"
"Andalucía","Hombres","De 20 a 24 años","2010","106.41"
"Andalucía","Hombres","De 25 a 29 años","2010","80.19"
"Andalucía","Hombres","De 30 a 34 años","2010","58.25"
"Andalucía","Hombres","De 35 a 39 años","2010","51.67"
"Andalucía","Hombres","De 40 a 44 años","2010","47.26"
"Andalucía","Hombres","De 45 a 49 años","2010","44.76"
"Andalucía","Hombres","De 50 a 54 años","2010","52.92"
"Andalucía","Hombres","De 55 a 59 años","2010","63.08"
"Andalucía","Hombres","De 60 a 64 años","2010","71.51"
"Andalucía","Hombres","De 65 a 69 años","2010","67.42"
"Andalucía","Hombres","De 70 a 74 años","2010","44.84"
"Andalucía","Hombres","75 y más años","2010","24.72"
"Andalucía","Mujeres","De 10 a 14 años","2010","81.40"
"Andalucía","Mujeres","De 15 a 19 años","2010","108.59"
"Andalucía","Mujeres","De 20 a 24 años","2010","133.09"
"Andalucía","Mujeres","De 25 a 29 años","2010","89.67"
"Andalucía","Mujeres","De 30 a 34 años","2010","65.94"
"Andalucía","Mujeres","De 35 a 39 años","2010","61.03"
"Andalucía","Mujeres","De 40 a 44 años","2010","60.78"
"Andalucía","Mujeres","De 45 a 49 años","2010","57.70"
"Andalucía","Mujeres","De 50 a 54 años","2010","67.88"
"Andalucía","Mujeres","De 55 a 59 años","2010","71.89"
"Andalucía","Mujeres","De 60 a 64 años","2010","74.48"
"Andalucía","Mujeres","De 65 a 69 años","2010","63.34"
"Andalucía","Mujeres","De 70 a 74 años","2010","41.01"
"Andalucía","Mujeres","75 y más años","2010","33.26"
"Aragón","Hombres","De 10 a 14 años","2010","68.00"
"Aragón","Hombres","De 15 a 19 años","2010","105.34"
"Aragón","Hombres","De 20 a 24 años","2010","85.76"
"Aragón","Hombres","De 25 a 29 años","2010","50.45"
"Aragón","Hombres","De 30 a 34 años","2010","33.32"
"Aragón","Hombres","De 35 a 39 años","2010","29.00"
"Aragón","Hombres","De 40 a 44 años","2010","26.22"
"Aragón","Hombres","De 45 a 49 años","2010","24.44"
"Aragón","Hombres","De 50 a 54 años","2010","33.05"
"Aragón","Hombres","De 55 a 59 años","2010","42.03"
"Aragón","Hombres","De 60 a 64 años","2010","71.08"
"Aragón","Hombres","De 65 a 69 años","2010","64.70"
"Aragón","Hombres","De 70 a 74 años","2010","63.66"
"Aragón","Hombres","75 y más años","2010","60.68"
"Aragón","Mujeres","De 10 a 14 años","2010","68.59"
"Aragón","Mujeres","De 15 a 19 años","2010","120.32"
"Aragón","Mujeres","De 20 a 24 años","2010","116.83"
"Aragón","Mujeres","De 25 a 29 años","2010","70.12"
"Aragón","Mujeres","De 30 a 34 años","2010","50.75"
"Aragón","Mujeres","De 35 a 39 años","2010","46.12"
"Aragón","Mujeres","De 40 a 44 años","2010","48.54"
"Aragón","Mujeres","De 45 a 49 años","2010","53.47"
"Aragón","Mujeres","De 50 a 54 años","2010","67.56"
"Aragón","Mujeres","De 55 a 59 años","2010","74.42"
"Aragón","Mujeres","De 60 a 64 años","2010","84.34"
"Aragón","Mujeres","De 65 a 69 años","2010","101.91"
"Aragón","Mujeres","De 70 a 74 años","2010","62.24"
"Aragón","Mujeres","75 y más años","2010","60.20"
"Asturias","Hombres","De 10 a 14 años","2010","135.36"
"Asturias","Hombres","De 15 a 19 años","2010","139.50"
"Asturias","Hombres","De 20 a 24 años","2010","129.74"
"Asturias","Hombres","De 25 a 29 años","2010","110.04"
"Asturias","Hombres","De 30 a 34 años","2010","58.00"
"Asturias","Hombres","De 35 a 39 años","2010","58.26"
"Asturias","Hombres","De 40 a 44 años","2010","51.37"
"Asturias","Hombres","De 45 a 49 años","2010","54.40"
"Asturias","Hombres","De 50 a 54 años","2010","44.10"
"Asturias","Hombres","De 55 a 59 años","2010","47.16"
"Asturias","Hombres","De 60 a 64 años","2010","45.54"
"Asturias","Hombres","De 65 a 69 años","2010","64.87"
"Asturias","Hombres","De 70 a 74 años","2010","23.59"
"Asturias","Hombres","75 y más años","2010","48.41"
"Asturias","Mujeres","De 10 a 14 años","2010","129.49"
"Asturias","Mujeres","De 15 a 19 años","2010","180.75"
"Asturias","Mujeres","De 20 a 24 años","2010","167.73"
"Asturias","Mujeres","De 25 a 29 años","2010","116.16"
"Asturias","Mujeres","De 30 a 34 años","2010","69.22"
"Asturias","Mujeres","De 35 a 39 años","2010","60.76"
"Asturias","Mujeres","De 40 a 44 años","2010","78.37"
"Asturias","Mujeres","De 45 a 49 años","2010","63.63"
"Asturias","Mujeres","De 50 a 54 años","2010","83.25"
"Asturias","Mujeres","De 55 a 59 años","2010","69.71"
"Asturias","Mujeres","De 60 a 64 años","2010","102.59"
"Asturias","Mujeres","De 65 a 69 años","2010","99.02"
"Asturias","Mujeres","De 70 a 74 años","2010","59.05"
"Asturias","Mujeres","75 y más años","2010","68.40"
"Balears","Hombres","De 10 a 14 años","2010","57.27"
"Balears","Hombres","De 15 a 19 años","2010","66.47"
"Balears","Hombres","De 20 a 24 años","2010","77.19"
"Balears","Hombres","De 25 a 29 años","2010","57.93"
"Balears","Hombres","De 30 a 34 años","2010","39.81"
"Balears","Hombres","De 35 a 39 años","2010","32.25"
"Balears","Hombres","De 40 a 44 años","2010","35.23"
"Balears","Hombres","De 45 a 49 años","2010","34.85"
"Balears","Hombres","De 50 a 54 años","2010","40.22"
"Balears","Hombres","De 55 a 59 años","2010","42.28"
"Balears","Hombres","De 60 a 64 años","2010","43.01"
"Balears","Hombres","De 65 a 69 años","2010","43.97"
"Balears","Hombres","De 70 a 74 años","2010","31.45"
"Balears","Hombres","75 y más años","2010","26.70"
"Balears","Mujeres","De 10 a 14 años","2010","48.97"
"Balears","Mujeres","De 15 a 19 años","2010","81.99"
"Balears","Mujeres","De 20 a 24 años","2010","111.52"
"Balears","Mujeres","De 25 a 29 años","2010","65.29"
"Balears","Mujeres","De 30 a 34 años","2010","40.11"
"Balears","Mujeres","De 35 a 39 años","2010","35.60"
"Balears","Mujeres","De 40 a 44 años","2010","38.64"
"Balears","Mujeres","De 45 a 49 años","2010","39.56"
"Balears","Mujeres","De 50 a 54 años","2010","43.62"
"Balears","Mujeres","De 55 a 59 años","2010","45.06"
"Balears","Mujeres","De 60 a 64 años","2010","56.37"
"Balears","Mujeres","De 65 a 69 años","2010","45.67"
"Balears","Mujeres","De 70 a 74 años","2010","37.72"
"Balears","Mujeres","75 y más años","2010","31.10"
"Canarias","Hombres","De 10 a 14 años","2010","87.02"
"Canarias","Hombres","De 15 a 19 años","2010","93.22"
"Canarias","Hombres","De 20 a 24 años","2010","109.86"
"Canarias","Hombres","De 25 a 29 años","2010","73.06"
"Canarias","Hombres","De 30 a 34 años","2010","53.12"
"Canarias","Hombres","De 35 a 39 años","2010","43.15"
"Canarias","Hombres","De 40 a 44 años","2010","45.17"
"Canarias","Hombres","De 45 a 49 años","2010","44.34"
"Canarias","Hombres","De 50 a 54 años","2010","45.27"
"Canarias","Hombres","De 55 a 59 años","2010","55.82"
"Canarias","Hombres","De 60 a 64 años","2010","73.26"
"Canarias","Hombres","De 65 a 69 años","2010","66.45"
"Canarias","Hombres","De 70 a 74 años","2010","44.73"
"Canarias","Hombres","75 y más años","2010","30.89"
"Canarias","Mujeres","De 10 a 14 años","2010","73.74"
"Canarias","Mujeres","De 15 a 19 años","2010","92.22"
"Canarias","Mujeres","De 20 a 24 años","2010","151.85"
"Canarias","Mujeres","De 25 a 29 años","2010","80.96"
"Canarias","Mujeres","De 30 a 34 años","2010","53.30"
"Canarias","Mujeres","De 35 a 39 años","2010","47.30"
"Canarias","Mujeres","De 40 a 44 años","2010","48.23"
"Canarias","Mujeres","De 45 a 49 años","2010","49.41"
"Canarias","Mujeres","De 50 a 54 años","2010","57.60"
"Canarias","Mujeres","De 55 a 59 años","2010","60.40"
"Canarias","Mujeres","De 60 a 64 años","2010","75.81"
"Canarias","Mujeres","De 65 a 69 años","2010","61.40"
"Canarias","Mujeres","De 70 a 74 años","2010","49.70"
"Canarias","Mujeres","75 y más años","2010","40.65"
"Cantabria","Hombres","De 10 a 14 años","2010","88.05"
"Cantabria","Hombres","De 15 a 19 años","2010","122.56"
"Cantabria","Hombres","De 20 a 24 años","2010","89.95"
"Cantabria","Hombres","De 25 a 29 años","2010","76.72"
"Cantabria","Hombres","De 30 a 34 años","2010","54.54"
"Cantabria","Hombres","De 35 a 39 años","2010","35.64"
"Cantabria","Hombres","De 40 a 44 años","2010","36.57"
"Cantabria","Hombres","De 45 a 49 años","2010","26.77"
"Cantabria","Hombres","De 50 a 54 años","2010","41.80"
"Cantabria","Hombres","De 55 a 59 años","2010","48.85"
"Cantabria","Hombres","De 60 a 64 años","2010","59.60"
"Cantabria","Hombres","De 65 a 69 años","2010","35.66"
"Cantabria","Hombres","De 70 a 74 años","2010","66.17"
"Cantabria","Hombres","75 y más años","2010","45.13"
"Cantabria","Mujeres","De 10 a 14 años","2010","103.05"
