
" ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Todas las edades","","","","","","","","","","","","",""
"    Total Nacional","","","","","","","","","","","","",""
"        Total","47,486,727","47,400,798","47,318,050","46,918,951","46,645,070","46,497,393","46,418,884","46,425,722","46,495,744","46,712,650","46,818,216","46,667,175","46,486,621"
"    Andalucía","","","","","","","","","","","","",""
"        Total","8,511,167","8,484,804","8,461,039","8,412,222","8,396,464","8,394,017","8,392,046","8,388,994","8,381,239","8,387,986","8,377,809","8,332,087","8,276,017"
"    Aragón","","","","","","","","","","","","",""
"        Total","1,328,215","1,331,938","1,330,592","1,320,694","1,313,493","1,315,411","1,318,042","1,325,600","1,330,713","1,337,675","1,343,790","1,344,396","1,344,184"
"    Asturias, (Principado de)","","","","","","","","","","","","",""
"        Total","1,004,960","1,012,117","1,018,053","1,021,469","1,027,091","1,033,550","1,040,407","1,049,328","1,058,560","1,067,425","1,074,304","1,075,877","1,077,103"
"    Balears, (Illes)","","","","","","","","","","","","",""
"        Total","1,187,043","1,183,415","1,176,816","1,157,928","1,141,233","1,128,492","1,117,353","1,111,002","1,106,617","1,105,131","1,100,715","1,091,656","1,083,683"
"    Canarias","","","","","","","","","","","","",""
"        Total","2,185,607","2,178,924","2,176,240","2,153,316","2,131,581","2,115,233","2,103,436","2,101,319","2,098,155","2,096,336","2,085,928","2,064,876","2,045,168"
"    Cantabria","","","","","","","","","","","","",""
"        Total","585,450","584,708","583,011","581,989","581,533","581,421","582,494","585,184","587,491","589,789","592,387","590,874","588,518"
"    Castilla y León","","","","","","","","","","","","",""
"        Total","2,375,583","2,385,223","2,398,976","2,405,568","2,417,013","2,433,535","2,452,721","2,475,697","2,493,604","2,516,927","2,537,654","2,545,286","2,547,408"
"    Castilla - La Mancha","","","","","","","","","","","","",""
"        Total","2,058,278","2,052,505","2,047,969","2,036,777","2,034,409","2,041,422","2,049,336","2,062,615","2,074,760","2,093,474","2,105,936","2,099,057","2,084,470"
"    Cataluña","","","","","","","","","","","","",""
"        Total","7,761,823","7,749,896","7,720,323","7,624,625","7,539,364","7,480,778","7,440,692","7,420,890","7,432,833","7,488,664","7,514,992","7,493,252","7,463,471"
"    Comunitat Valenciana","","","","","","","","","","","","",""
"        Total","5,108,116","5,067,911","5,046,482","4,989,308","4,958,584","4,943,821","4,939,888","4,945,092","4,960,213","4,988,365","5,009,647","4,999,211","4,989,631"
"    Extremadura","","","","","","","","","","","","",""
"        Total","1,056,808","1,061,636","1,064,970","1,067,925","1,072,721","1,079,108","1,086,153","1,092,217","1,096,708","1,101,024","1,104,343","1,102,300","1,099,605"
"    Galicia","","","","","","","","","","","","",""
"        Total","2,692,825","2,698,177","2,702,605","2,700,210","2,703,048","2,708,955","2,719,095","2,732,801","2,745,817","2,760,720","2,771,916","2,773,415","2,772,457"
"    Madrid, (Comunidad de)","","","","","","","","","","","","",""
"        Total","6,743,254","6,726,640","6,720,310","6,618,078","6,529,923","6,459,297","6,411,466","6,375,737","6,372,553","6,411,525","6,425,573","6,394,239","6,373,532"
"    Murcia, (Región de)","","","","","","","","","","","","",""
"        Total","1,529,658","1,518,279","1,509,077","1,491,312","1,478,718","1,475,275","1,468,367","1,465,195","1,462,734","1,462,271","1,461,928","1,459,076","1,453,545"
"    Navarra, (Comunidad Foral de)","","","","","","","","","","","","",""
"        Total","664,514","662,032","659,907","652,797","646,340","642,075","638,922","637,317","637,099","639,089","640,023","637,099","633,017"
"    País Vasco","","","","","","","","","","","","",""
"        Total","2,205,826","2,212,628","2,211,917","2,197,306","2,187,254","2,179,944","2,174,426","2,172,707","2,172,247","2,179,274","2,184,696","2,183,134","2,179,532"
"    Rioja, (La)","","","","","","","","","","","","",""
"        Total","319,617","319,444","318,703","315,967","314,890","314,136","314,025","314,457","315,736","318,819","320,951","320,850","319,939"
"    ciudad autónoma de ceuta","","","","","","","","","","","","",""
"        Total","83,051","84,071","84,502","85,087","85,327","85,005","84,558","84,561","84,562","84,487","83,837","81,627","79,294"
"    ciudad autónoma de melilla","","","","","","","","","","","","",""
"        Total","84,932","86,450","86,558","86,373","86,084","85,918","85,457","85,009","84,103","83,669","81,786","78,863","76,047"
