"edad","comunidad","sexo","fecha","Total"
"10 años","Andalucía","Hombres","2022","47,104.00"
"10 años","Andalucía","Hombres","2021","48,240.00"
"10 años","Andalucía","Hombres","2020","49,407.00"
"10 años","Andalucía","Hombres","2019","52,282.00"
"10 años","Andalucía","Hombres","2018","50,394.00"
"10 años","Andalucía","Hombres","2017","50,944.00"
"10 años","Andalucía","Hombres","2016","49,228.00"
"10 años","Andalucía","Hombres","2015","48,391.00"
"10 años","Andalucía","Hombres","2014","47,168.00"
"10 años","Andalucía","Hombres","2013","45,844.00"
"10 años","Andalucía","Hombres","2012","45,870.15"
"10 años","Andalucía","Hombres","2011","46,547.53"
"10 años","Andalucía","Hombres","2010","45,384.12"
"10 años","Aragón","Hombres","2022","6,751.00"
"10 años","Aragón","Hombres","2021","6,800.00"
"10 años","Aragón","Hombres","2020","6,860.00"
"10 años","Aragón","Hombres","2019","7,151.00"
"10 años","Aragón","Hombres","2018","6,878.00"
"10 años","Aragón","Hombres","2017","6,733.00"
"10 años","Aragón","Hombres","2016","6,541.00"
"10 años","Aragón","Hombres","2015","6,462.00"
"10 años","Aragón","Hombres","2014","6,407.00"
"10 años","Aragón","Hombres","2013","6,195.00"
"10 años","Aragón","Hombres","2012","6,207.77"
"10 años","Aragón","Hombres","2011","6,145.47"
"10 años","Aragón","Hombres","2010","5,983.65"
"10 años","Asturias","Hombres","2022","4,181.00"
"10 años","Asturias","Hombres","2021","4,022.00"
"10 años","Asturias","Hombres","2020","4,363.00"
"10 años","Asturias","Hombres","2019","4,271.00"
"10 años","Asturias","Hombres","2018","4,239.00"
"10 años","Asturias","Hombres","2017","4,194.00"
"10 años","Asturias","Hombres","2016","4,140.00"
"10 años","Asturias","Hombres","2015","4,063.00"
"10 años","Asturias","Hombres","2014","3,906.00"
"10 años","Asturias","Hombres","2013","3,742.00"
"10 años","Asturias","Hombres","2012","3,920.87"
"10 años","Asturias","Hombres","2011","3,842.17"
"10 años","Asturias","Hombres","2010","3,777.55"
"10 años","Balears","Hombres","2022","6,305.00"
"10 años","Balears","Hombres","2021","6,347.00"
"10 años","Balears","Hombres","2020","6,292.00"
"10 años","Balears","Hombres","2019","6,790.00"
"10 años","Balears","Hombres","2018","6,382.00"
"10 años","Balears","Hombres","2017","6,304.00"
"10 años","Balears","Hombres","2016","6,136.00"
"10 años","Balears","Hombres","2015","5,951.00"
"10 años","Balears","Hombres","2014","5,796.00"
"10 años","Balears","Hombres","2013","5,822.00"
"10 años","Balears","Hombres","2012","5,548.51"
"10 años","Balears","Hombres","2011","5,591.26"
"10 años","Balears","Hombres","2010","5,363.56"
"10 años","Canarias","Hombres","2022","9,933.00"
"10 años","Canarias","Hombres","2021","10,253.00"
"10 años","Canarias","Hombres","2020","10,572.00"
"10 años","Canarias","Hombres","2019","11,267.00"
"10 años","Canarias","Hombres","2018","11,246.00"
"10 años","Canarias","Hombres","2017","11,173.00"
"10 años","Canarias","Hombres","2016","11,158.00"
"10 años","Canarias","Hombres","2015","11,109.00"
"10 años","Canarias","Hombres","2014","11,153.00"
"10 años","Canarias","Hombres","2013","11,013.00"
"10 años","Canarias","Hombres","2012","11,075.29"
"10 años","Canarias","Hombres","2011","11,045.14"
"10 años","Canarias","Hombres","2010","10,893.08"
"10 años","Cantabria","Hombres","2022","2,922.00"
"10 años","Cantabria","Hombres","2021","2,970.00"
"10 años","Cantabria","Hombres","2020","3,015.00"
"10 años","Cantabria","Hombres","2019","3,063.00"
"10 años","Cantabria","Hombres","2018","2,859.00"
"10 años","Cantabria","Hombres","2017","2,905.00"
"10 años","Cantabria","Hombres","2016","2,876.00"
"10 años","Cantabria","Hombres","2015","2,776.00"
"10 años","Cantabria","Hombres","2014","2,771.00"
"10 años","Cantabria","Hombres","2013","2,610.00"
"10 años","Cantabria","Hombres","2012","2,503.45"
"10 años","Cantabria","Hombres","2011","2,573.48"
"10 años","Cantabria","Hombres","2010","2,421.75"
"10 años","Castilla y León","Hombres","2022","10,435.00"
"10 años","Castilla y León","Hombres","2021","10,660.00"
"10 años","Castilla y León","Hombres","2020","10,634.00"
"10 años","Castilla y León","Hombres","2019","11,047.00"
"10 años","Castilla y León","Hombres","2018","10,703.00"
"10 años","Castilla y León","Hombres","2017","10,593.00"
"10 años","Castilla y León","Hombres","2016","10,653.00"
"10 años","Castilla y León","Hombres","2015","10,652.00"
"10 años","Castilla y León","Hombres","2014","10,337.00"
"10 años","Castilla y León","Hombres","2013","10,469.00"
"10 años","Castilla y León","Hombres","2012","10,272.39"
"10 años","Castilla y León","Hombres","2011","10,635.42"
"10 años","Castilla y León","Hombres","2010","10,144.30"
"10 años","Castilla - La Mancha","Hombres","2022","11,416.00"
"10 años","Castilla - La Mancha","Hombres","2021","11,396.00"
"10 años","Castilla - La Mancha","Hombres","2020","11,610.00"
"10 años","Castilla - La Mancha","Hombres","2019","12,066.00"
"10 años","Castilla - La Mancha","Hombres","2018","11,327.00"
"10 años","Castilla - La Mancha","Hombres","2017","11,615.00"
"10 años","Castilla - La Mancha","Hombres","2016","11,130.00"
"10 años","Castilla - La Mancha","Hombres","2015","11,275.00"
"10 años","Castilla - La Mancha","Hombres","2014","11,084.00"
"10 años","Castilla - La Mancha","Hombres","2013","10,848.00"
"10 años","Castilla - La Mancha","Hombres","2012","10,812.26"
"10 años","Castilla - La Mancha","Hombres","2011","11,023.96"
"10 años","Castilla - La Mancha","Hombres","2010","10,874.12"
"10 años","Cataluña","Hombres","2022","42,563.00"
"10 años","Cataluña","Hombres","2021","43,717.00"
"10 años","Cataluña","Hombres","2020","44,135.00"
"10 años","Cataluña","Hombres","2019","45,266.00"
"10 años","Cataluña","Hombres","2018","43,289.00"
"10 años","Cataluña","Hombres","2017","42,906.00"
"10 años","Cataluña","Hombres","2016","42,063.00"
"10 años","Cataluña","Hombres","2015","41,184.00"
