"edad","comunidad","Sexo","fecha","Total"
"10 años","Andalucía","Mujeres","2022","44,677.00"
"10 años","Andalucía","Mujeres","2021","45,421.00"
"10 años","Andalucía","Mujeres","2020","46,563.00"
"10 años","Andalucía","Mujeres","2019","49,089.00"
"10 años","Andalucía","Mujeres","2018","47,645.00"
"10 años","Andalucía","Mujeres","2017","47,762.00"
"10 años","Andalucía","Mujeres","2016","46,925.00"
"10 años","Andalucía","Mujeres","2015","45,588.00"
"10 años","Andalucía","Mujeres","2014","45,083.00"
"10 años","Andalucía","Mujeres","2013","43,381.00"
"10 años","Andalucía","Mujeres","2012","43,580.68"
"10 años","Andalucía","Mujeres","2011","42,954.54"
"10 años","Andalucía","Mujeres","2010","42,410.01"
"10 años","Aragón","Mujeres","2022","6,398.00"
"10 años","Aragón","Mujeres","2021","6,507.00"
"10 años","Aragón","Mujeres","2020","6,443.00"
"10 años","Aragón","Mujeres","2019","6,545.00"
"10 años","Aragón","Mujeres","2018","6,460.00"
"10 años","Aragón","Mujeres","2017","6,256.00"
"10 años","Aragón","Mujeres","2016","6,096.00"
"10 años","Aragón","Mujeres","2015","6,237.00"
"10 años","Aragón","Mujeres","2014","6,110.00"
"10 años","Aragón","Mujeres","2013","5,828.00"
"10 años","Aragón","Mujeres","2012","5,956.17"
"10 años","Aragón","Mujeres","2011","5,719.58"
"10 años","Aragón","Mujeres","2010","5,591.14"
"10 años","Asturias","Mujeres","2022","3,879.00"
"10 años","Asturias","Mujeres","2021","4,012.00"
"10 años","Asturias","Mujeres","2020","4,153.00"
"10 años","Asturias","Mujeres","2019","4,206.00"
"10 años","Asturias","Mujeres","2018","3,950.00"
"10 años","Asturias","Mujeres","2017","3,916.00"
"10 años","Asturias","Mujeres","2016","3,908.00"
"10 años","Asturias","Mujeres","2015","3,765.00"
"10 años","Asturias","Mujeres","2014","3,795.00"
"10 años","Asturias","Mujeres","2013","3,681.00"
"10 años","Asturias","Mujeres","2012","3,602.03"
"10 años","Asturias","Mujeres","2011","3,597.21"
"10 años","Asturias","Mujeres","2010","3,428.39"
"10 años","Balears","Mujeres","2022","5,745.00"
"10 años","Balears","Mujeres","2021","6,013.00"
"10 años","Balears","Mujeres","2020","5,943.00"
"10 años","Balears","Mujeres","2019","6,116.00"
"10 años","Balears","Mujeres","2018","5,859.00"
"10 años","Balears","Mujeres","2017","5,856.00"
"10 años","Balears","Mujeres","2016","5,438.00"
"10 años","Balears","Mujeres","2015","5,611.00"
"10 años","Balears","Mujeres","2014","5,517.00"
"10 años","Balears","Mujeres","2013","5,377.00"
"10 años","Balears","Mujeres","2012","5,380.00"
"10 años","Balears","Mujeres","2011","5,248.77"
"10 años","Balears","Mujeres","2010","5,072.73"
"10 años","Canarias","Mujeres","2022","9,471.00"
"10 años","Canarias","Mujeres","2021","9,689.00"
"10 años","Canarias","Mujeres","2020","10,049.00"
"10 años","Canarias","Mujeres","2019","10,641.00"
"10 años","Canarias","Mujeres","2018","10,485.00"
"10 años","Canarias","Mujeres","2017","10,656.00"
"10 años","Canarias","Mujeres","2016","10,551.00"
"10 años","Canarias","Mujeres","2015","10,688.00"
"10 años","Canarias","Mujeres","2014","10,411.00"
"10 años","Canarias","Mujeres","2013","10,306.00"
"10 años","Canarias","Mujeres","2012","10,471.32"
"10 años","Canarias","Mujeres","2011","10,308.28"
"10 años","Canarias","Mujeres","2010","10,468.38"
"10 años","Cantabria","Mujeres","2022","2,673.00"
"10 años","Cantabria","Mujeres","2021","2,767.00"
"10 años","Cantabria","Mujeres","2020","2,804.00"
"10 años","Cantabria","Mujeres","2019","2,941.00"
"10 años","Cantabria","Mujeres","2018","2,728.00"
"10 años","Cantabria","Mujeres","2017","2,635.00"
"10 años","Cantabria","Mujeres","2016","2,768.00"
"10 años","Cantabria","Mujeres","2015","2,711.00"
"10 años","Cantabria","Mujeres","2014","2,626.00"
"10 años","Cantabria","Mujeres","2013","2,504.00"
"10 años","Cantabria","Mujeres","2012","2,418.05"
"10 años","Cantabria","Mujeres","2011","2,485.31"
"10 años","Cantabria","Mujeres","2010","2,290.13"
"10 años","Castilla y León","Mujeres","2022","9,866.00"
"10 años","Castilla y León","Mujeres","2021","10,038.00"
"10 años","Castilla y León","Mujeres","2020","10,051.00"
"10 años","Castilla y León","Mujeres","2019","10,480.00"
"10 años","Castilla y León","Mujeres","2018","9,995.00"
"10 años","Castilla y León","Mujeres","2017","9,991.00"
"10 años","Castilla y León","Mujeres","2016","10,124.00"
"10 años","Castilla y León","Mujeres","2015","10,057.00"
"10 años","Castilla y León","Mujeres","2014","10,183.00"
"10 años","Castilla y León","Mujeres","2013","9,748.00"
"10 años","Castilla y León","Mujeres","2012","9,834.38"
"10 años","Castilla y León","Mujeres","2011","9,760.68"
"10 años","Castilla y León","Mujeres","2010","9,810.27"
"10 años","Castilla - La Mancha","Mujeres","2022","10,639.00"
"10 años","Castilla - La Mancha","Mujeres","2021","10,761.00"
"10 años","Castilla - La Mancha","Mujeres","2020","10,892.00"
"10 años","Castilla - La Mancha","Mujeres","2019","11,223.00"
"10 años","Castilla - La Mancha","Mujeres","2018","10,914.00"
"10 años","Castilla - La Mancha","Mujeres","2017","10,686.00"
"10 años","Castilla - La Mancha","Mujeres","2016","10,559.00"
"10 años","Castilla - La Mancha","Mujeres","2015","10,374.00"
"10 años","Castilla - La Mancha","Mujeres","2014","10,610.00"
"10 años","Castilla - La Mancha","Mujeres","2013","10,117.00"
"10 años","Castilla - La Mancha","Mujeres","2012","10,289.66"
"10 años","Castilla - La Mancha","Mujeres","2011","10,250.30"
"10 años","Castilla - La Mancha","Mujeres","2010","10,280.67"
"10 años","Cataluña","Mujeres","2022","40,136.00"
"10 años","Cataluña","Mujeres","2021","40,887.00"
"10 años","Cataluña","Mujeres","2020","40,738.00"
"10 años","Cataluña","Mujeres","2019","42,440.00"
"10 años","Cataluña","Mujeres","2018","40,416.00"
"10 años","Cataluña","Mujeres","2017","40,203.00"
"10 años","Cataluña","Mujeres","2016","39,393.00"
"10 años","Cataluña","Mujeres","2015","39,086.00"
"10 años","Cataluña","Mujeres","2014","37,597.00"
"10 años","Cataluña","Mujeres","2013","36,316.00"
"10 años","Cataluña","Mujeres","2012","35,729.53"
"10 años","Cataluña","Mujeres","2011","35,867.47"
"10 años","Cataluña","Mujeres","2010","34,437.09"
"10 años","Comunitat Valenciana","Mujeres","2022","25,109.00"
"10 años","Comunitat Valenciana","Mujeres","2021","25,812.00"
"10 años","Comunitat Valenciana","Mujeres","2020","26,085.00"
"10 años","Comunitat Valenciana","Mujeres","2019","27,519.00"
"10 años","Comunitat Valenciana","Mujeres","2018","26,569.00"
"10 años","Comunitat Valenciana","Mujeres","2017","26,238.00"
"10 años","Comunitat Valenciana","Mujeres","2016","25,774.00"
"10 años","Comunitat Valenciana","Mujeres","2015","25,074.00"
"10 años","Comunitat Valenciana","Mujeres","2014","25,039.00"
"10 años","Comunitat Valenciana","Mujeres","2013","23,781.00"
"10 años","Comunitat Valenciana","Mujeres","2012","23,799.67"
"10 años","Comunitat Valenciana","Mujeres","2011","23,751.87"
"10 años","Comunitat Valenciana","Mujeres","2010","23,352.21"
"10 años","Extremadura","Mujeres","2022","4,727.00"
"10 años","Extremadura","Mujeres","2021","4,968.00"
"10 años","Extremadura","Mujeres","2020","5,088.00"
"10 años","Extremadura","Mujeres","2019","5,294.00"
"10 años","Extremadura","Mujeres","2018","5,086.00"
"10 años","Extremadura","Mujeres","2017","5,215.00"
"10 años","Extremadura","Mujeres","2016","5,170.00"
"10 años","Extremadura","Mujeres","2015","5,146.00"
"10 años","Extremadura","Mujeres","2014","5,229.00"
"10 años","Extremadura","Mujeres","2013","5,160.00"
"10 años","Extremadura","Mujeres","2012","5,214.85"
"10 años","Extremadura","Mujeres","2011","5,276.42"
"10 años","Extremadura","Mujeres","2010","5,283.93"
"10 años","Galicia","Mujeres","2022","10,903.00"
"10 años","Galicia","Mujeres","2021","11,085.00"
"10 años","Galicia","Mujeres","2020","11,406.00"
"10 años","Galicia","Mujeres","2019","11,685.00"
"10 años","Galicia","Mujeres","2018","11,076.00"
"10 años","Galicia","Mujeres","2017","10,908.00"
"10 años","Galicia","Mujeres","2016","10,907.00"
"10 años","Galicia","Mujeres","2015","10,750.00"
"10 años","Galicia","Mujeres","2014","10,669.00"
"10 años","Galicia","Mujeres","2013","10,167.00"
"10 años","Galicia","Mujeres","2012","10,292.51"
"10 años","Galicia","Mujeres","2011","10,283.24"
"10 años","Galicia","Mujeres","2010","10,027.02"
"10 años","Madrid","Mujeres","2022","34,535.00"
"10 años","Madrid","Mujeres","2021","34,960.00"
"10 años","Madrid","Mujeres","2020","35,149.00"
"10 años","Madrid","Mujeres","2019","36,148.00"
"10 años","Madrid","Mujeres","2018","34,402.00"
"10 años","Madrid","Mujeres","2017","33,682.00"
"10 años","Madrid","Mujeres","2016","32,942.00"
"10 años","Madrid","Mujeres","2015","32,699.00"
"10 años","Madrid","Mujeres","2014","32,456.00"
"10 años","Madrid","Mujeres","2013","31,115.00"
"10 años","Madrid","Mujeres","2012","30,663.22"
"10 años","Madrid","Mujeres","2011","29,825.64"
"10 años","Madrid","Mujeres","2010","28,665.51"
"10 años","Murcia","Mujeres","2022","8,728.00"
"10 años","Murcia","Mujeres","2021","8,757.00"
"10 años","Murcia","Mujeres","2020","8,938.00"
"10 años","Murcia","Mujeres","2019","9,285.00"
"10 años","Murcia","Mujeres","2018","8,976.00"
"10 años","Murcia","Mujeres","2017","8,786.00"
"10 años","Murcia","Mujeres","2016","8,551.00"
"10 años","Murcia","Mujeres","2015","8,368.00"
"10 años","Murcia","Mujeres","2014","8,386.00"
"10 años","Murcia","Mujeres","2013","8,047.00"
"10 años","Murcia","Mujeres","2012","8,235.42"
"10 años","Murcia","Mujeres","2011","7,966.30"
"10 años","Murcia","Mujeres","2010","7,658.75"
"10 años","Navarra","Mujeres","2022","3,577.00"
"10 años","Navarra","Mujeres","2021","3,550.00"
"10 años","Navarra","Mujeres","2020","3,602.00"
"10 años","Navarra","Mujeres","2019","3,529.00"
"10 años","Navarra","Mujeres","2018","3,413.00"
"10 años","Navarra","Mujeres","2017","3,458.00"
"10 años","Navarra","Mujeres","2016","3,266.00"
"10 años","Navarra","Mujeres","2015","3,218.00"
"10 años","Navarra","Mujeres","2014","3,368.00"
"10 años","Navarra","Mujeres","2013","3,145.00"
"10 años","Navarra","Mujeres","2012","3,163.33"
"10 años","Navarra","Mujeres","2011","3,085.83"
"10 años","Navarra","Mujeres","2010","2,932.11"
"10 años","País Vasco","Mujeres","2022","10,770.00"
"10 años","País Vasco","Mujeres","2021","10,875.00"
"10 años","País Vasco","Mujeres","2020","10,415.00"
"10 años","País Vasco","Mujeres","2019","10,750.00"
"10 años","País Vasco","Mujeres","2018","10,424.00"
"10 años","País Vasco","Mujeres","2017","10,225.00"
"10 años","País Vasco","Mujeres","2016","10,117.00"
"10 años","País Vasco","Mujeres","2015","10,107.00"
"10 años","País Vasco","Mujeres","2014","9,879.00"
"10 años","País Vasco","Mujeres","2013","9,520.00"
"10 años","País Vasco","Mujeres","2012","9,111.08"
"10 años","País Vasco","Mujeres","2011","9,098.12"
"10 años","País Vasco","Mujeres","2010","8,968.68"
"10 años","Rioja","Mujeres","2022","1,541.00"
"10 años","Rioja","Mujeres","2021","1,629.00"
"10 años","Rioja","Mujeres","2020","1,613.00"
"10 años","Rioja","Mujeres","2019","1,653.00"
"10 años","Rioja","Mujeres","2018","1,573.00"
"10 años","Rioja","Mujeres","2017","1,533.00"
"10 años","Rioja","Mujeres","2016","1,578.00"
"10 años","Rioja","Mujeres","2015","1,578.00"
"10 años","Rioja","Mujeres","2014","1,613.00"
"10 años","Rioja","Mujeres","2013","1,440.00"
"10 años","Rioja","Mujeres","2012","1,430.19"
"10 años","Rioja","Mujeres","2011","1,403.04"
