" ","2022","","2021","","2020","","2019","","2018","","2017","","2016","","2015","","2014","","2013","","2012","","2011","","2010",""
" ","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres"
"Total Nacional","23,288,747","24,197,980","23,248,611","24,152,187","23,210,668","24,107,382","23,016,783","23,902,168","22,889,600","23,755,470","22,831,107","23,666,286","22,806,445","23,612,439","22,822,721","23,603,001","22,874,710","23,621,034","23,013,226","23,699,424","23,099,009","23,719,207","23,049,476","23,617,698","22,982,272","23,504,349"
"Andalucía","4,196,620","4,314,547","4,182,620","4,302,184","4,172,773","4,288,266","4,150,733","4,261,489","4,145,478","4,250,986","4,147,238","4,246,779","4,148,415","4,243,631","4,147,731","4,241,263","4,146,169","4,235,070","4,153,357","4,234,629","4,152,488","4,225,322","4,131,060","4,201,028","4,103,593","4,172,424"
"Aragón","656,811","671,404","658,263","673,675","657,279","673,313","652,324","668,370","649,267","664,226","650,754","664,657","652,926","665,116","657,871","667,729","660,989","669,724","665,412","672,263","669,633","674,156","671,336","673,060","672,650","671,534"
"Asturias","479,658","525,302","483,186","528,931","486,142","531,911","487,926","533,543","490,804","536,287","493,967","539,583","497,543","542,864","502,026","547,302","506,921","551,639","511,725","555,700","515,503","558,801","516,497","559,380","517,332","559,771"
"Balears","592,100","594,943","590,990","592,425","588,145","588,671","578,751","579,177","570,092","571,141","563,624","564,868","558,124","559,229","555,297","555,705","553,810","552,807","554,043","551,088","552,593","548,122","548,586","543,069","545,138","538,545"
"Canarias","1,080,244","1,105,363","1,077,860","1,101,064","1,077,749","1,098,491","1,067,530","1,085,786","1,057,487","1,074,094","1,050,427","1,064,806","1,045,320","1,058,116","1,045,396","1,055,923","1,044,653","1,053,502","1,045,150","1,051,186","1,040,946","1,044,981","1,031,244","1,033,632","1,021,998","1,023,171"
"Cantabria","284,061","301,389","283,854","300,854","283,117","299,894","282,808","299,181","282,991","298,542","283,310","298,111","284,039","298,455","285,739","299,445","287,118","300,373","288,490","301,299","290,133","302,254","289,406","301,468","288,423","300,095"
"Castilla y León","1,170,227","1,205,356","1,174,957","1,210,266","1,182,248","1,216,728","1,186,172","1,219,396","1,192,516","1,224,497","1,201,797","1,231,738","1,211,940","1,240,781","1,224,320","1,251,377","1,234,079","1,259,525","1,246,732","1,270,195","1,258,276","1,279,379","1,262,594","1,282,692","1,264,145","1,283,263"
"Castilla - La Mancha","1,031,732","1,026,546","1,028,696","1,023,809","1,026,348","1,021,621","1,020,701","1,016,076","1,020,072","1,014,337","1,024,382","1,017,040","1,029,445","1,019,891","1,037,163","1,025,452","1,044,118","1,030,642","1,055,063","1,038,411","1,062,653","1,043,283","1,059,509","1,039,549","1,053,522","1,030,949"
"Cataluña","3,820,173","3,941,650","3,814,823","3,935,073","3,797,011","3,923,312","3,745,262","3,879,363","3,700,356","3,839,008","3,672,371","3,808,407","3,654,164","3,786,528","3,645,767","3,775,123","3,655,110","3,777,723","3,691,318","3,797,346","3,713,214","3,801,779","3,711,637","3,781,615","3,704,036","3,759,435"
"Comunitat Valenciana","2,516,724","2,591,392","2,497,752","2,570,159","2,488,070","2,558,412","2,460,317","2,528,991","2,446,266","2,512,318","2,440,620","2,503,201","2,441,047","2,498,841","2,445,540","2,499,552","2,455,333","2,504,880","2,473,095","2,515,270","2,487,660","2,521,987","2,484,814","2,514,396","2,482,885","2,506,746"
"Extremadura","523,255","533,553","525,843","535,793","527,727","537,243","529,649","538,276","532,292","540,429","535,866","543,242","539,726","546,427","543,038","549,179","545,415","551,293","547,813","553,211","549,524","554,819","548,312","553,988","546,601","553,004"
"Galicia","1,296,582","1,396,243","1,299,491","1,398,686","1,301,860","1,400,745","1,301,382","1,398,828","1,303,692","1,399,356","1,307,459","1,401,496","1,312,994","1,406,101","1,320,402","1,412,399","1,327,220","1,418,597","1,335,088","1,425,632","1,340,856","1,431,060","1,340,811","1,432,604","1,339,618","1,432,839"
"Madrid","3,229,127","3,514,127","3,221,401","3,505,239","3,219,909","3,500,401","3,172,045","3,446,033","3,131,714","3,398,209","3,099,759","3,359,538","3,078,169","3,333,297","3,062,065","3,313,672","3,062,785","3,309,768","3,085,179","3,326,346","3,097,459","3,328,114","3,087,772","3,306,467","3,082,941","3,290,591"
"Murcia","767,117","762,541","760,831","757,448","756,142","752,935","746,926","744,386","741,037","737,681","739,790","735,485","736,540","731,827","735,374","729,821","734,753","727,981","735,778","726,493","737,239","724,690","737,295","721,782","735,569","717,976"
"Navarra","329,064","335,450","327,940","334,092","326,911","332,996","323,191","329,606","320,190","326,150","318,413","323,662","317,113","321,809","316,363","320,954","316,505","320,594","317,993","321,096","319,090","320,933","318,116","318,983","316,529","316,488"
"País Vasco","1,072,491","1,133,335","1,075,982","1,136,646","1,075,169","1,136,748","1,067,911","1,129,395","1,062,576","1,124,678","1,059,094","1,120,850","1,057,049","1,117,377","1,056,495","1,116,212","1,056,919","1,115,328","1,061,831","1,117,443","1,066,155","1,118,541","1,067,391","1,115,743","1,067,188","1,112,344"
"Rioja","157,875","161,742","157,763","161,681","157,336","161,367","155,955","160,012","155,582","159,308","155,178","158,958","155,204","158,821","155,527","158,930","156,519","159,217","158,669","160,150","160,318","160,633","160,694","160,156","160,628","159,311"
"Ceuta","41,908","41,143","42,536","41,535","42,740","41,762","43,151","41,936","43,328","41,999","43,186","41,819","42,979","41,579","43,049","41,512","43,197","41,365","43,300","41,187","42,960","40,877","41,801","39,826","40,539","38,756"
"Melilla","42,978","41,954","43,823","42,627","43,992","42,566","44,049","42,324","43,860","42,224","43,872","42,046","43,708","41,749","43,558","41,451","43,097","41,006","43,190","40,479","42,310","39,476","40,601","38,261","38,939","37,108"
