"comunidad","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Total Nacional","","","","","","","","","","","","",""
"Hombres","23,288,747","23,248,611","23,210,668","23,016,783","22,889,600","22,831,107","22,806,445","22,822,721","22,874,710","23,013,226","23,099,009","23,049,476","22,982,272"
"Mujeres","24,197,980","24,152,187","24,107,382","23,902,168","23,755,470","23,666,286","23,612,439","23,603,001","23,621,034","23,699,424","23,719,207","23,617,698","23,504,349"
"Andalucía","","","","","","","","","","","","",""
"Hombres","4,196,620","4,182,620","4,172,773","4,150,733","4,145,478","4,147,238","4,148,415","4,147,731","4,146,169","4,153,357","4,152,488","4,131,060","4,103,593"
"Mujeres","4,314,547","4,302,184","4,288,266","4,261,489","4,250,986","4,246,779","4,243,631","4,241,263","4,235,070","4,234,629","4,225,322","4,201,028","4,172,424"
"Aragón","","","","","","","","","","","","",""
"Hombres","656,811","658,263","657,279","652,324","649,267","650,754","652,926","657,871","660,989","665,412","669,633","671,336","672,650"
"Mujeres","671,404","673,675","673,313","668,370","664,226","664,657","665,116","667,729","669,724","672,263","674,156","673,060","671,534"
"Asturias","","","","","","","","","","","","",""
"Hombres","479,658","483,186","486,142","487,926","490,804","493,967","497,543","502,026","506,921","511,725","515,503","516,497","517,332"
"Mujeres","525,302","528,931","531,911","533,543","536,287","539,583","542,864","547,302","551,639","555,700","558,801","559,380","559,771"
"Balears","","","","","","","","","","","","",""
"Hombres","592,100","590,990","588,145","578,751","570,092","563,624","558,124","555,297","553,810","554,043","552,593","548,586","545,138"
"Mujeres","594,943","592,425","588,671","579,177","571,141","564,868","559,229","555,705","552,807","551,088","548,122","543,069","538,545"
"Canarias","","","","","","","","","","","","",""
"Hombres","1,080,244","1,077,860","1,077,749","1,067,530","1,057,487","1,050,427","1,045,320","1,045,396","1,044,653","1,045,150","1,040,946","1,031,244","1,021,998"
"Mujeres","1,105,363","1,101,064","1,098,491","1,085,786","1,074,094","1,064,806","1,058,116","1,055,923","1,053,502","1,051,186","1,044,981","1,033,632","1,023,171"
"Cantabria","","","","","","","","","","","","",""
"Hombres","284,061","283,854","283,117","282,808","282,991","283,310","284,039","285,739","287,118","288,490","290,133","289,406","288,423"
"Mujeres","301,389","300,854","299,894","299,181","298,542","298,111","298,455","299,445","300,373","301,299","302,254","301,468","300,095"
"Castilla y León","","","","","","","","","","","","",""
"Hombres","1,170,227","1,174,957","1,182,248","1,186,172","1,192,516","1,201,797","1,211,940","1,224,320","1,234,079","1,246,732","1,258,276","1,262,594","1,264,145"
